spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0,1.87,2.06,2,3.4,3.75,2021-08-08T13:00:00.000Z,9827,8311,True,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.87,2.06,2,3.4,3.75,2021-08-08T13:00:00.000Z,9827,8311,True,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.25,1.91,2.02,2.25,3.25,3.2,2021-08-08T13:00:00.000Z,8689,9853,False,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.5,1.83,2.1,1.85,3.5,4.2,2021-08-08T13:00:00.000Z,9831,9837,True,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,1.77,2.02,4.5,3.8,1.75,2021-08-15T11:00:00.000Z,8121,9748,True,3,0,2,1.0,1.39,17.0,4.0,69.0,1.0,0.0,1.0,0.85,13.0,8.0,31.0,2.0,0.0,1.0,0.059,0.25,0.077,0.125,2.0,0.87,9.0,2.0,43.0,2.0,18.0,0.0,0.34,7.0,1.0,57.0,0.0,19.0,3.0,0.222,1.0,0.0,0.0
0.25,1.9,2.03,2.87,3.2,2.62,2021-08-22T13:00:00.000Z,8121,9827,False,1,1,1,2.5,1.345,11.0,4.0,42.5,2.0,21.0,0.0,0.625,7.5,2.0,57.5,1.0,14.5,3.0,0.227,0.625,0.0,0.0,1.0,0.47,9.0,4.0,38.0,0.5,0.0,2.0,2.065,14.5,6.0,62.0,3.5,0.0,0.5,0.111,0.25,0.138,0.333
-0.25,1.93,2,2.1,3.4,3.5,2021-08-22T13:00:00.000Z,8689,10249,False,1,3,0,1.0,0.715,7.0,2.5,33.5,1.5,11.5,0.5,1.51,16.0,3.0,66.5,1.5,11.5,2.0,0.143,0.4,0.031,0.167,2.5,1.285,11.5,3.0,42.0,2.0,0.0,3.0,1.85,20.0,8.0,58.0,2.0,0.0,0.5,0.217,0.833,0.15,0.375
-0.25,1.98,1.95,2.25,3.2,3.4,2021-08-22T13:00:00.000Z,8550,9837,True,1,1,1,1.5,0.995,12.0,4.5,48.0,0.5,0.0,1.5,1.41,13.5,3.5,52.0,2.0,0.0,1.0,0.125,0.333,0.111,0.429,1.5,0.76,11.0,5.0,51.0,1.5,8.5,2.5,1.48,14.0,6.5,49.0,2.0,12.0,0.5,0.136,0.3,0.179,0.385
-0.5,2.01,1.92,2,3.4,3.75,2021-08-22T13:00:00.000Z,9848,10242,True,1,1,1,0.5,0.785,10.5,4.0,39.5,0.5,0.0,2.0,1.79,15.0,5.5,60.5,2.5,0.0,0.0,0.048,0.125,0.133,0.364,1.0,0.54,7.5,1.5,46.0,0.5,9.5,3.0,2.0,10.0,3.5,54.0,3.0,9.0,0.0,0.133,0.667,0.3,0.857
0,2.07,1.86,2.9,3.25,2.5,2021-08-29T13:00:00.000Z,8121,9851,True,2,0,2,1.0,0.893,10.0,3.0,60.667,1.333,0.0,0.667,1.527,8.333,4.0,39.333,2.333,0.0,1.667,0.1,0.333,0.08,0.167,2.0,1.203,9.333,3.667,44.0,2.0,17.333,0.333,0.717,9.667,3.0,56.0,0.667,16.333,2.333,0.214,0.545,0.034,0.111
-0.5,2.02,1.91,2,3.3,4,2021-08-29T13:00:00.000Z,8521,9848,False,1,3,0,1.333,1.287,11.333,5.333,32.333,2.667,0.0,2.0,1.12,13.0,4.667,67.667,3.0,0.0,0.667,0.118,0.25,0.154,0.429,1.0,1.077,9.333,2.333,50.667,2.0,12.667,2.333,1.787,10.0,4.333,49.333,2.667,12.0,0.333,0.107,0.429,0.233,0.538
-0.75,1.86,2.07,1.72,3.75,4.75,2021-08-29T13:00:00.000Z,8311,8550,True,2,2,1,1.333,0.677,10.667,4.667,53.333,1.0,11.333,2.0,1.283,13.667,5.333,46.667,2.0,16.0,0.667,0.125,0.286,0.146,0.375,2.333,2.35,18.0,7.667,55.0,4.0,0.0,1.0,1.56,12.333,5.333,45.0,2.667,0.0,2.333,0.13,0.304,0.081,0.188
-1,2.08,1.85,1.75,3.6,5,2021-08-29T13:00:00.000Z,8588,8689,True,2,2,1,1.0,0.69,6.333,3.0,36.667,1.333,10.0,1.333,2.06,21.333,5.667,63.333,2.667,19.0,1.333,0.158,0.333,0.062,0.235,1.667,1.31,12.333,5.0,42.333,1.667,0.0,1.0,0.667,10.333,3.667,57.667,0.333,0.0,1.667,0.135,0.333,0.097,0.273
