index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,06/08/2021,Monaco,Nantes,1,1,1.44,4.33,7,-1.25,2.02,1.91
1,07/08/2021,Lyon,Brest,1,1,1.33,5,8.5,-1.5,2,1.93
2,07/08/2021,Troyes,Paris SG,1,2,11,6,1.25,1.5,1.95,1.98
3,08/08/2021,Rennes,Lens,1,1,2,3.4,3.75,-0.5,1.93,2
4,08/08/2021,Bordeaux,Clermont,0,2,2,3.4,3.75,0,1.87,2.06
5,08/08/2021,Nice,Reims,0,0,1.85,3.5,4.2,-0.5,1.83,2.1
6,08/08/2021,St Etienne,Lorient,1,1,2.25,3.25,3.2,-0.25,1.91,2.02
7,08/08/2021,Strasbourg,Angers,0,2,2,3.2,4,-0.5,2.07,1.86
8,08/08/2021,Metz,Lille,3,3,5.25,3.4,1.72,0.5,2.1,1.83
9,08/08/2021,Montpellier,Marseille,2,3,3.2,3.4,2.2,0.5,1.84,2.09
10,13/08/2021,Lorient,Monaco,1,0,4,3.75,1.85,0.5,1.95,1.98
11,14/08/2021,Lille,Nice,0,4,1.8,3.5,4.75,-0.5,1.88,2.05
12,14/08/2021,Paris SG,Strasbourg,4,2,1.2,7,13,-1.75,1.93,2
13,15/08/2021,Angers,Lyon,3,0,4.5,3.8,1.75,0.75,1.77,2.02
14,15/08/2021,Brest,Rennes,1,1,3.1,3.4,2.3,0.25,2.02,1.91
15,15/08/2021,Clermont,Troyes,2,0,2,3.4,3.8,-0.5,1.93,2
16,15/08/2021,Nantes,Metz,2,0,2.3,3.2,3.25,-0.25,1.83,2.1
17,15/08/2021,Reims,Montpellier,3,3,2.6,3.3,2.75,0,1.78,2.16
18,15/08/2021,Lens,St Etienne,2,2,2,3.5,3.75,-0.5,2.11,1.82
19,15/08/2021,Marseille,Bordeaux,2,2,1.53,4.2,6,-1.25,2.05,1.75
20,20/08/2021,Brest,Paris SG,2,4,9.5,5.75,1.25,1.5,1.94,1.99
21,21/08/2021,Monaco,Lens,0,2,1.7,3.75,4.75,-0.75,2.01,1.92
22,21/08/2021,St Etienne,Lille,1,1,3.1,3.2,2.4,0.25,1.83,2.1
23,22/08/2021,Lyon,Clermont,3,3,1.55,4.5,5.25,-1,2.07,1.86
24,22/08/2021,Bordeaux,Angers,1,1,2.87,3.2,2.62,0.25,1.9,2.03
25,22/08/2021,Metz,Reims,1,1,2.25,3.2,3.4,-0.25,1.98,1.95
26,22/08/2021,Montpellier,Lorient,3,1,2.1,3.4,3.5,-0.25,1.93,2
27,22/08/2021,Strasbourg,Troyes,1,1,2,3.4,3.75,-0.5,2.01,1.92
28,22/08/2021,Rennes,Nantes,1,0,1.85,3.6,4.2,-0.75,1.88,2.05
29,27/08/2021,Nantes,Lyon,0,1,4.5,4,1.66,0.75,1.93,2
30,28/08/2021,Nice,Bordeaux,4,0,1.6,4.2,5.25,-0.5,1.88,2.05
31,28/08/2021,Marseille,St Etienne,3,1,1.7,3.8,4.75,-0.75,1.89,2.04
32,29/08/2021,Troyes,Monaco,1,2,4.33,3.6,1.83,0.75,1.85,2.08
33,29/08/2021,Angers,Rennes,2,0,2.9,3.25,2.5,0,2.07,1.86
34,29/08/2021,Clermont,Metz,2,2,1.72,3.75,4.75,-0.75,1.86,2.07
35,29/08/2021,Lens,Lorient,2,2,1.75,3.6,5,-1,2.08,1.85
36,29/08/2021,Strasbourg,Brest,3,1,2,3.3,4,-0.5,2.02,1.91
37,29/08/2021,Lille,Montpellier,2,1,1.66,4,5,-1,2.05,1.75
38,29/08/2021,Reims,Paris SG,0,2,17,8,1.14,2,2.01,1.92
39,10/09/2021,Lorient,Lille,2,1,3.4,3.4,2.15,0.25,2.01,1.92
40,11/09/2021,Paris SG,Clermont,4,0,1.25,6.5,10,-1.5,1.93,2
41,11/09/2021,Monaco,Marseille,0,2,2,3.6,3.6,-0.5,1.86,2.07
42,12/09/2021,Montpellier,St Etienne,2,0,2.55,3.5,2.7,0,1.86,2.07
43,12/09/2021,Bordeaux,Lens,2,3,3.3,3.5,2.15,0.25,1.86,2.07
44,12/09/2021,Brest,Angers,1,1,2.6,3.4,2.7,0,1.86,2.07
45,12/09/2021,Metz,Troyes,0,2,2.25,3.3,3.25,-0.25,2.09,1.84
46,12/09/2021,Rennes,Reims,0,2,1.65,3.75,5.75,-0.75,2.03,1.9
47,12/09/2021,Nantes,Nice,0,2,3.3,3.4,2.2,0,2.04,1.89
48,12/09/2021,Lyon,Strasbourg,3,1,1.53,4.5,5.75,-1,2.02,1.91
49,17/09/2021,Strasbourg,Metz,3,0,1.85,3.6,4.2,-0.5,1.9,2.03
50,18/09/2021,Lens,Lille,1,0,2.55,3.2,2.87,0,1.84,2.09
51,18/09/2021,St Etienne,Bordeaux,1,2,1.95,3.25,4.2,-0.5,1.93,2
52,19/09/2021,Nice,Monaco,2,2,2.62,3.5,2.62,0.25,1.88,2.05
53,19/09/2021,Angers,Nantes,1,4,2.1,3.3,3.6,-0.25,1.88,2.05
54,19/09/2021,Clermont,Brest,1,1,1.8,3.75,4.33,-0.5,1.9,2.03
55,19/09/2021,Reims,Lorient,0,0,2.15,3.3,3.4,-0.25,1.98,1.95
56,19/09/2021,Troyes,Montpellier,1,1,2.45,3.5,2.8,0,1.81,2.13
57,19/09/2021,Marseille,Rennes,2,0,1.9,3.6,3.8,-0.5,1.97,1.96
58,19/09/2021,Paris SG,Lyon,2,1,1.3,5.75,9,-1.5,1.7,2.1
59,22/09/2021,Lille,Reims,2,1,1.66,3.6,5.25,-0.75,2.09,1.84
60,22/09/2021,Monaco,St Etienne,3,1,1.53,4,6.5,-1.25,2.07,1.86
61,22/09/2021,Montpellier,Bordeaux,3,3,1.9,3.6,3.8,-0.25,1.77,2.02
62,22/09/2021,Nantes,Brest,3,1,2.05,3.5,3.4,-0.5,2.11,1.82
63,22/09/2021,Rennes,Clermont,6,0,1.95,3.6,3.8,-0.5,2.06,1.87
64,22/09/2021,Angers,Marseille,0,0,3.75,3.25,2.05,0.25,1.91,2.02
65,22/09/2021,Lens,Strasbourg,0,1,1.95,3.6,3.75,-0.25,1.89,2.04
66,22/09/2021,Lorient,Nice,1,0,3.3,3.5,2.15,0.25,2.08,1.85
67,22/09/2021,Lyon,Troyes,3,1,1.4,4.5,8.5,-1.5,1.83,2.1
68,22/09/2021,Metz,Paris SG,1,2,11,7,1.22,1.75,1.99,1.94
69,25/09/2021,St Etienne,Nice,0,3,3.3,3.3,2.25,0.25,2.06,1.87
70,25/09/2021,Strasbourg,Lille,1,2,2.8,3.2,2.62,0.25,1.8,2.14
71,25/09/2021,Lyon,Lorient,1,1,1.33,5.25,8.5,-1.75,2.01,1.92
72,25/09/2021,Paris SG,Montpellier,2,0,1.18,8,12,-2.5,1.84,2.09
73,26/09/2021,Bordeaux,Rennes,1,1,3.4,3.4,2.15,0.5,1.91,2.02
74,26/09/2021,Brest,Metz,1,2,2,3.5,3.75,-0.5,2.09,1.84
75,26/09/2021,Reims,Nantes,3,1,2.55,3.1,2.9,0,1.89,2.04
76,26/09/2021,Troyes,Angers,1,1,2.75,3.2,2.7,0,2.03,1.9
77,26/09/2021,Clermont,Monaco,1,3,3.8,3.5,2,0.5,2.01,1.92
78,26/09/2021,Marseille,Lens,2,3,1.72,3.75,5,-0.75,1.98,1.95
79,01/10/2021,Lens,Reims,2,0,1.72,3.5,5,-0.5,2.01,1.92
80,02/10/2021,Montpellier,Strasbourg,1,1,2.4,3.6,2.8,0,1.82,2.11
81,02/10/2021,Nice,Brest,2,1,1.55,4.5,5.5,-1,1.89,2.04
82,03/10/2021,Rennes,Paris SG,2,0,5.5,4.5,1.55,1.25,1.97,1.96
83,03/10/2021,Angers,Metz,3,2,1.95,3.3,4.2,-0.5,1.96,1.97
84,03/10/2021,Lorient,Clermont,1,1,2.4,3.5,2.8,0,1.83,2.1
85,03/10/2021,Monaco,Bordeaux,3,0,1.36,5,8,-1.5,2.09,1.84
86,03/10/2021,Nantes,Troyes,2,0,1.75,3.5,5,-0.75,2.09,1.84
