wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
10,11,17,41.0,44.0,55.0,47.78,52.32,1845.0,393.0,135.0,431.0,155.0,-11.0,8121
6,13,19,31.0,52.0,91.0,46.88,68.52,1794.0,450.0,151.0,522.0,200.0,-39.0,9827
13,9,16,48.0,49.0,57.0,43.87,56.52,1662.0,402.0,149.0,494.0,176.0,-8.0,8521
9,9,20,36.0,38.0,69.0,46.09,52.77,1896.0,438.0,138.0,440.0,166.0,-31.0,8311
17,11,10,62.0,62.0,48.0,52.66,43.52,1929.0,516.0,193.0,413.0,149.0,14.0,8588
14,13,11,55.0,48.0,48.0,51.08,40.37,1927.0,466.0,155.0,448.0,153.0,0.0,8639
8,12,18,36.0,35.0,63.0,41.79,52.23,1680.0,445.0,150.0,465.0,150.0,-28.0,8689
17,12,10,63.0,66.0,51.0,71.29,56.05,2234.0,554.0,204.0,464.0,181.0,15.0,9748
21,9,10,72.0,63.0,39.0,58.9,39.56,2363.0,499.0,167.0,332.0,113.0,24.0,8592
6,13,19,31.0,35.0,69.0,29.44,63.81,1626.0,371.0,116.0,563.0,183.0,-34.0,8550
20,9,9,69.0,65.0,40.0,60.54,41.17,2054.0,454.0,166.0,418.0,144.0,25.0,9829
12,7,19,43.0,49.0,61.0,43.7,61.59,1829.0,437.0,160.0,602.0,216.0,-12.0,10249
15,10,13,55.0,55.0,48.0,47.09,53.37,1657.0,425.0,156.0,474.0,159.0,7.0,9830
21,7,11,70.0,53.0,36.0,56.29,44.19,1958.0,452.0,153.0,434.0,154.0,17.0,9831
26,8,4,86.0,90.0,36.0,77.37,40.5,2405.0,563.0,218.0,411.0,142.0,54.0,9847
11,13,14,46.0,43.0,44.0,38.73,47.84,1601.0,395.0,145.0,513.0,165.0,-1.0,9837
20,6,12,66.0,82.0,40.0,64.87,43.29,2141.0,552.0,203.0,356.0,107.0,42.0,9851
7,11,20,32.0,42.0,77.0,38.76,59.02,1848.0,439.0,151.0,460.0,193.0,-35.0,9853
17,12,9,63.0,60.0,43.0,55.9,44.48,1873.0,478.0,160.0,413.0,132.0,17.0,9848
9,11,18,38.0,37.0,53.0,40.43,52.34,1678.0,386.0,129.0,462.0,161.0,-16.0,10242
7,5,26,26.0,23.0,74.0,37.09,54.03,1637.0,320.0,89.0,420.0,166.0,-51.0,8576
8,11,19,35.0,35.0,63.0,42.69,59.18,1637.0,429.0,127.0,472.0,187.0,-28.0,8583
13,9,16,48.0,51.0,57.0,53.5,57.76,1952.0,457.0,183.0,541.0,184.0,-6.0,9941
7,11,16,32.0,34.0,45.0,37.77,51.04,1516.0,388.0,124.0,459.0,161.0,-11.0,9746
