wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
22,3,13,69.0,61.0,48.0,64.14,46.2,2017.0,589.0,198.0,425.0,147.0,13.0,9825
13,6,19,45.0,52.0,54.0,45.61,49.65,1765.0,464.0,162.0,477.0,156.0,-2.0,10252
13,7,18,46.0,48.0,56.0,49.05,49.97,1692.0,442.0,155.0,503.0,183.0,-8.0,9937
12,15,11,51.0,42.0,44.0,47.75,45.17,2073.0,489.0,152.0,476.0,152.0,-2.0,10204
7,14,17,35.0,34.0,53.0,40.93,58.57,1512.0,407.0,125.0,603.0,187.0,-19.0,8191
21,11,6,74.0,76.0,33.0,65.23,34.56,2366.0,592.0,211.0,341.0,119.0,43.0,8455
11,15,12,48.0,50.0,46.0,47.92,41.23,1943.0,412.0,147.0,443.0,146.0,4.0,9826
11,6,21,39.0,43.0,66.0,42.85,58.46,1510.0,437.0,138.0,522.0,190.0,-23.0,8668
9,11,18,38.0,42.0,79.0,45.24,69.43,1996.0,485.0,154.0,581.0,231.0,-37.0,8463
14,10,14,52.0,62.0,59.0,48.26,61.0,1985.0,435.0,169.0,565.0,197.0,3.0,8197
28,8,2,92.0,94.0,26.0,92.05,34.26,2398.0,729.0,256.0,297.0,111.0,68.0,8650
29,6,3,93.0,99.0,26.0,90.52,24.75,2594.0,713.0,254.0,237.0,88.0,73.0,8456
16,10,12,58.0,57.0,57.0,56.16,54.83,2005.0,508.0,187.0,511.0,184.0,0.0,10260
13,10,15,49.0,44.0,62.0,38.59,59.17,1520.0,449.0,149.0,530.0,171.0,-18.0,10261
5,7,26,22.0,23.0,84.0,33.34,77.66,1616.0,373.0,109.0,631.0,230.0,-61.0,9850
9,13,16,40.0,43.0,67.0,45.55,61.35,1812.0,482.0,170.0,495.0,189.0,-24.0,8466
22,5,11,71.0,69.0,40.0,62.1,40.59,1969.0,491.0,198.0,492.0,142.0,29.0,8586
6,5,27,23.0,34.0,77.0,41.31,65.59,1530.0,399.0,127.0,561.0,193.0,-43.0,9817
16,8,14,56.0,60.0,51.0,52.06,54.52,1815.0,449.0,157.0,548.0,167.0,9.0,8654
15,6,17,51.0,38.0,43.0,39.11,60.81,1882.0,402.0,136.0,509.0,171.0,-5.0,8602
11,6,21,39.0,37.0,71.0,39.6,65.92,1527.0,358.0,133.0,626.0,206.0,-34.0,8678
15,7,16,52.0,55.0,53.0,47.04,65.39,1846.0,429.0,149.0,505.0,200.0,2.0,9879
9,11,18,38.0,38.0,68.0,39.77,65.17,1418.0,368.0,118.0,557.0,189.0,-30.0,10203
