spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0.5,2.02,1.91,4.75,3.75,1.72,2021-08-22T15:30:00.000Z,9825,8455,True,0,2,0,3.0,0.68,13.0,6.0,62.0,1.0,0.0,0.0,0.22,4.0,1.0,38.0,0.0,0.0,3.0,0.231,0.5,0.0,0.0,0.0,1.28,22.0,4.0,65.0,0.0,40.0,2.0,1.24,8.0,3.0,35.0,2.0,20.0,0.0,0.0,0.0,0.25,0.667
-1.5,2.02,1.77,1.25,6,12,2021-08-28T11:30:00.000Z,9825,8456,False,0,5,0,0.0,0.805,14.0,3.5,50.0,0.5,20.0,2.0,2.18,15.0,4.0,50.0,3.5,10.0,0.0,0.0,0.0,0.133,0.5,2.5,2.215,17.0,4.0,66.5,3.0,0.0,0.5,0.555,7.0,1.5,33.5,0.5,0.0,1.5,0.147,0.625,0.071,0.333
-1.5,2.1,1.7,1.5,4.6,6,2021-09-11T14:00:00.000Z,9825,9850,True,1,0,2,0.333,1.003,9.667,2.333,42.333,1.0,0.0,3.333,1.923,14.667,5.0,57.667,3.0,0.0,0.0,0.034,0.143,0.227,0.667,0.0,0.607,9.667,2.333,40.0,0.333,26.667,3.0,2.793,18.333,6.0,60.0,4.667,13.333,0.0,0.0,0.0,0.164,0.5
0,2.13,1.81,2.8,3.2,2.62,2021-09-11T14:00:00.000Z,9937,10204,True,0,1,0,1.333,1.06,13.667,4.667,62.333,2.0,0.0,1.0,1.303,12.667,3.0,37.667,1.333,0.0,2.0,0.098,0.286,0.079,0.333,1.0,0.99,10.333,2.667,45.333,1.333,13.333,0.333,0.843,12.0,3.667,54.667,0.667,26.667,1.667,0.097,0.375,0.028,0.091
1,1.75,2.05,6,4,1.57,2021-09-11T14:00:00.000Z,8197,8456,True,0,1,0,3.333,2.817,19.667,6.0,71.0,4.333,0.0,0.333,0.44,5.0,1.0,29.0,0.333,0.0,2.0,0.169,0.555,0.067,0.333,1.333,0.847,7.667,3.0,53.667,1.0,0.0,1.667,1.73,16.667,4.667,46.333,2.0,0.0,2.0,0.174,0.444,0.1,0.357
-2,1.99,1.94,1.18,7.5,15,2021-09-11T14:00:00.000Z,10260,10261,True,4,1,2,1.333,1.17,12.0,3.0,45.0,1.333,0.0,2.667,2.64,16.667,5.667,55.0,3.667,0.0,0.333,0.111,0.444,0.16,0.471,2.333,1.333,13.667,5.0,56.333,2.333,0.0,0.667,1.107,11.0,4.0,43.667,2.0,0.0,2.333,0.171,0.467,0.061,0.167
0.25,1.9,2.03,2.9,3.5,2.4,2021-09-11T14:00:00.000Z,8466,8654,True,0,0,1,3.333,2.197,17.0,6.667,50.333,3.667,0.0,1.667,1.19,10.333,2.0,49.667,1.667,0.0,2.333,0.196,0.5,0.161,0.834,1.333,1.73,12.0,4.0,50.667,2.0,0.0,2.0,1.753,13.0,5.0,49.333,2.667,0.0,0.667,0.111,0.333,0.154,0.4
0.25,1.98,1.95,3.4,3.2,2.25,2021-09-11T14:00:00.000Z,9817,8602,True,0,2,0,0.0,1.76,19.0,5.0,48.667,1.667,0.0,1.0,0.947,9.0,4.667,51.333,1.0,0.0,0.0,0.0,0.0,0.111,0.214,1.0,0.993,10.667,3.333,41.0,0.333,0.0,1.667,1.173,13.0,4.333,59.0,1.333,0.0,1.0,0.094,0.3,0.128,0.385
0.5,1.9,2.03,3.8,3.6,1.95,2021-09-18T14:00:00.000Z,9825,8191,False,1,0,2,0.25,1.147,14.75,3.5,43.0,1.0,31.25,2.25,2.272,16.25,4.75,57.0,3.5,15.5,0.75,0.017,0.071,0.138,0.474,0.75,1.125,11.5,3.75,38.5,2.5,0.0,2.0,1.647,16.75,6.25,61.5,2.75,0.0,0.25,0.065,0.2,0.119,0.32
-1.75,2.02,1.77,1.2,7,13,2021-09-18T14:00:00.000Z,9826,8650,False,0,3,0,1.25,1.025,9.5,2.25,51.75,1.75,0.0,1.25,0.735,10.75,3.5,48.25,0.75,0.0,1.25,0.132,0.556,0.116,0.357,2.25,2.998,25.0,8.25,59.5,4.0,0.0,0.25,1.05,9.5,3.25,40.5,0.75,0.0,2.5,0.09,0.273,0.026,0.077
-2,1.87,2.06,1.12,9.5,17,2021-09-18T14:00:00.000Z,8456,8466,True,0,0,1,1.0,1.478,11.75,3.75,48.5,1.5,0.0,1.5,1.495,13.0,4.5,51.5,2.0,0.0,0.75,0.085,0.267,0.115,0.333,2.75,2.857,21.0,6.5,68.25,4.0,0.0,0.25,0.495,5.25,1.0,31.75,0.5,0.0,2.25,0.131,0.423,0.048,0.25
-0.25,2.04,1.89,2.15,3.3,3.5,2021-09-18T14:00:00.000Z,9850,9817,True,1,3,0,0.75,0.8,9.5,3.0,41.75,0.25,0.0,1.75,1.48,13.25,4.5,58.25,2.25,0.0,0.75,0.079,0.25,0.132,0.389,0.25,0.93,9.75,2.0,43.75,0.75,5.5,2.75,2.135,18.5,5.5,56.25,3.0,11.25,0.0,0.026,0.125,0.149,0.5
-0.25,1.95,1.98,2.15,3.3,3.5,2021-09-26T15:30:00.000Z,9825,8586,True,3,1,2,0.6,0.864,9.2,4.0,43.8,0.8,0.0,1.2,1.76,18.0,5.2,56.2,2.0,0.0,1.8,0.065,0.15,0.067,0.231,0.4,1.13,14.4,3.4,45.4,1.0,28.2,1.8,2.022,16.6,4.4,54.6,2.8,19.4,1.2,0.028,0.118,0.108,0.409
0.25,1.91,2.02,3,3.25,2.4,2021-10-02T16:30:00.000Z,9825,10204,False,0,0,1,1.0,1.09,12.4,4.0,41.8,1.4,26.45,1.6,1.978,17.0,4.6,58.2,2.8,18.5,1.8,0.081,0.25,0.094,0.348,1.2,0.978,10.2,3.4,54.4,1.2,0.0,0.8,1.158,10.6,2.6,45.6,1.0,0.0,2.0,0.118,0.353,0.075,0.308
-1,2,1.8,1.6,3.8,6,2021-10-18T19:00:00.000Z,9825,9826,True,2,2,1,1.6,1.384,13.2,3.0,52.6,2.0,7.8,1.6,1.288,11.6,4.8,47.4,2.0,2.6,1.2,0.121,0.533,0.138,0.333,1.0,1.11,12.8,3.8,43.2,1.2,29.85,1.2,1.572,16.8,4.0,56.8,1.8,24.5,2.0,0.078,0.263,0.071,0.3
-0.5,2.03,1.9,1.83,3.75,4.2,2021-10-22T19:00:00.000Z,9825,10252,True,3,1,2,1.4,1.06,13.6,4.0,46.2,1.4,12.0,1.6,1.528,15.4,4.2,53.8,2.4,9.8,1.2,0.103,0.35,0.104,0.381,1.4,1.408,16.0,5.0,50.0,1.6,27.45,0.6,0.912,13.6,3.2,50.0,0.4,22.5,2.2,0.087,0.28,0.044,0.187
0,1.85,2.05,2.4,3.5,2.87,2021-10-30T11:30:00.000Z,9825,8197,False,2,0,2,1.8,1.398,14.4,5.4,50.4,1.8,25.25,0.8,1.058,13.6,3.8,49.6,0.8,21.3,2.2,0.125,0.333,0.059,0.211,2.2,1.816,15.4,6.0,53.0,1.8,11.8,1.8,1.184,14.4,4.6,47.0,0.6,17.0,1.6,0.143,0.367,0.125,0.391
