spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0.75,1.9,2.03,4,3.75,1.85,2021-08-21T20:00:00.000Z,8315,8634,True,1,1,1,4.0,2.8,13.0,8.0,62.0,6.0,0.0,2.0,0.85,11.0,3.0,38.0,1.0,0.0,3.0,0.308,0.5,0.182,0.667,0.0,0.62,9.0,3.0,50.0,1.0,0.0,0.0,1.07,8.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0.75,1.9,2.03,4,3.75,1.85,2021-08-21T20:00:00.000Z,8315,8634,True,1,1,1,4.0,2.8,13.0,8.0,62.0,6.0,0.0,2.0,0.85,11.0,3.0,38.0,1.0,0.0,3.0,0.308,0.5,0.182,0.667,0.0,0.62,9.0,3.0,50.0,1.0,0.0,0.0,1.07,8.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
-0.25,2.09,1.84,2.4,3.2,3.1,2021-08-28T15:00:00.000Z,8315,9910,False,1,0,2,0.5,0.995,12.5,5.0,41.5,1.5,0.0,0.5,1.06,8.5,2.5,58.5,1.0,0.0,1.0,0.04,0.1,0.059,0.2,0.5,1.285,7.0,1.0,53.5,1.0,7.5,1.0,1.755,14.0,6.0,46.5,3.5,9.5,0.5,0.071,0.5,0.071,0.167
-0.75,2.02,1.91,1.72,3.6,5.25,2021-09-11T19:00:00.000Z,8315,8661,True,2,0,2,1.0,0.757,10.0,3.333,44.667,1.667,6.0,0.333,0.52,8.667,2.333,55.333,1.0,5.667,2.333,0.1,0.3,0.038,0.143,0.667,1.143,10.333,4.0,40.333,2.0,0.0,0.333,1.09,10.0,1.667,59.667,1.0,0.0,1.667,0.065,0.167,0.033,0.2
-0.75,1.91,2.02,1.65,3.6,6,2021-09-18T14:15:00.000Z,8315,9906,False,0,0,1,1.0,1.32,12.5,4.25,42.25,2.5,0.0,0.25,0.865,9.25,1.5,57.75,0.75,0.0,2.0,0.08,0.235,0.027,0.167,1.75,1.248,14.25,4.0,49.0,1.5,11.875,1.0,0.838,6.25,2.25,51.0,0.75,9.375,2.5,0.123,0.438,0.16,0.444
-0.75,2.04,1.86,1.85,3.5,4.33,2021-09-21T20:00:00.000Z,8315,8370,True,1,2,0,1.6,1.518,13.0,4.2,43.2,2.4,0.0,1.0,1.686,12.6,4.8,56.8,2.2,0.0,1.4,0.123,0.381,0.079,0.208,0.8,1.258,11.2,3.4,42.8,2.4,0.0,0.2,0.872,10.2,1.6,57.2,0.8,0.0,1.8,0.071,0.235,0.02,0.125
0.25,1.85,2.05,2.6,3.4,2.7,2021-09-21T20:00:00.000Z,9910,8581,False,2,0,2,0.8,1.296,10.4,2.0,57.4,1.8,9.5,2.0,1.856,11.2,5.6,42.6,3.4,12.033,0.2,0.077,0.4,0.179,0.357,1.2,1.084,8.8,3.0,47.0,1.6,0.0,1.4,1.18,13.0,3.4,53.0,2.4,0.0,0.8,0.136,0.4,0.108,0.412
0,2.01,1.92,2.6,3.2,2.8,2021-09-25T14:15:00.000Z,8315,10267,False,1,1,1,1.0,1.292,11.0,3.0,42.2,2.4,0.0,0.6,0.856,10.2,1.8,57.8,1.0,0.0,1.6,0.091,0.333,0.059,0.333,2.0,1.06,11.4,4.4,45.4,1.4,6.017,1.4,0.886,11.6,4.2,54.6,0.8,5.067,1.4,0.175,0.455,0.121,0.333
-1,2.09,1.84,1.53,3.75,7.5,2021-10-01T19:00:00.000Z,8315,9866,True,1,0,2,0.2,0.526,8.0,2.4,46.0,0.8,18.4,1.4,1.236,11.4,2.8,54.0,1.6,19.4,0.6,0.025,0.083,0.123,0.5,1.0,1.178,10.2,2.4,45.2,2.0,0.0,0.6,0.826,11.0,2.4,54.8,1.2,0.0,1.6,0.098,0.417,0.055,0.25
-0.25,2.1,1.83,2.45,3,3.2,2021-10-23T19:00:00.000Z,8315,10205,True,2,1,2,1.4,1.668,10.6,5.0,61.6,2.6,11.2,0.6,0.79,10.0,2.2,38.4,1.6,7.4,1.6,0.132,0.28,0.06,0.273,1.0,1.288,12.2,3.0,48.8,2.0,7.4,0.6,0.776,11.8,3.4,51.2,1.0,5.2,1.6,0.082,0.333,0.051,0.176
0,1.98,1.95,2.9,3,2.62,2021-10-26T19:00:00.000Z,8315,8558,False,1,1,1,1.0,1.47,11.2,3.4,49.6,1.8,12.0,0.8,0.83,12.6,3.8,50.4,1.0,10.2,1.6,0.089,0.294,0.063,0.211,1.4,1.164,13.0,4.2,45.8,1.8,16.0,1.0,1.05,12.4,4.0,54.2,0.8,20.0,2.0,0.108,0.333,0.081,0.25
-0.25,1.86,2.07,2.1,3.2,3.8,2021-10-31T20:00:00.000Z,8315,8560,False,1,1,1,1.2,2.018,14.6,4.8,51.4,2.4,22.4,1.0,0.906,12.6,4.0,48.6,1.0,12.6,1.6,0.082,0.25,0.079,0.25,1.4,1.22,11.4,4.0,52.6,1.4,14.0,0.6,0.902,10.4,3.0,47.4,1.2,17.0,2.2,0.123,0.35,0.058,0.2
-1.25,2.05,1.88,1.36,4.75,9,2021-11-05T20:00:00.000Z,8315,8385,True,0,1,0,0.8,1.052,12.0,2.6,41.0,1.4,20.0,1.6,1.304,12.6,4.8,59.0,2.8,22.4,0.6,0.067,0.308,0.127,0.333,1.2,2.07,15.2,5.6,51.2,2.4,25.8,0.8,0.926,12.6,4.0,48.8,0.8,16.4,1.8,0.079,0.214,0.063,0.2
0.25,2,1.9,3.5,3.3,2.15,2021-11-19T20:00:00.000Z,8315,8581,False,0,0,1,1.0,2.016,15.8,5.8,55.6,2.4,31.4,0.8,0.838,11.6,3.6,44.4,0.4,18.2,1.6,0.063,0.172,0.069,0.222,1.2,1.35,10.4,4.4,43.0,2.2,18.4,2.4,1.15,12.2,5.4,57.0,2.0,22.8,0.4,0.115,0.273,0.197,0.444
-1.25,1.89,2.01,1.36,4.75,9.5,2021-11-26T20:00:00.000Z,8315,7878,True,2,2,1,1.2,1.336,13.6,4.2,55.2,1.4,18.6,1.6,1.556,14.6,5.8,44.8,2.8,27.0,1.0,0.088,0.286,0.11,0.276,0.8,1.728,14.0,5.2,54.6,1.8,27.2,0.8,0.768,11.2,3.0,45.4,0.4,19.0,1.2,0.057,0.154,0.071,0.267
