wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
14,13,11,55.0,43.0,36.0,51.89,39.92,1826.0,467.0,162.0,443.0,132.0,7.0,8315
21,8,9,71.0,65.0,43.0,54.67,34.07,1923.0,463.0,160.0,357.0,107.0,22.0,9906
21,10,7,73.0,68.0,38.0,63.87,34.88,2457.0,518.0,188.0,352.0,125.0,30.0,8634
8,15,15,39.0,35.0,51.0,40.0,49.55,1552.0,412.0,128.0,474.0,173.0,-16.0,8385
12,10,16,46.0,43.0,43.0,43.62,46.52,2112.0,411.0,144.0,405.0,139.0,0.0,9910
8,7,23,31.0,31.0,65.0,37.67,57.66,1586.0,380.0,119.0,518.0,171.0,-34.0,9866
11,9,18,42.0,40.0,52.0,34.03,60.59,1837.0,335.0,108.0,522.0,180.0,-12.0,10268
10,12,16,42.0,40.0,53.0,36.86,53.42,1782.0,408.0,133.0,502.0,172.0,-13.0,8558
8,15,15,39.0,33.0,41.0,30.45,39.03,1563.0,409.0,116.0,412.0,132.0,-8.0,8305
8,14,16,38.0,44.0,61.0,40.23,62.7,1692.0,426.0,136.0,564.0,199.0,-17.0,7878
8,11,19,35.0,51.0,76.0,56.56,57.27,1783.0,443.0,161.0,514.0,205.0,-25.0,8581
10,9,19,39.0,36.0,63.0,40.3,51.7,1710.0,447.0,138.0,468.0,158.0,-27.0,8661
12,11,15,47.0,37.0,51.0,37.4,46.88,1772.0,433.0,124.0,444.0,152.0,-14.0,8371
11,9,18,42.0,39.0,50.0,43.79,49.23,1896.0,504.0,141.0,414.0,166.0,-11.0,8370
19,8,11,65.0,62.0,40.0,55.85,43.95,2051.0,515.0,189.0,433.0,134.0,22.0,8603
26,8,4,86.0,80.0,31.0,73.61,44.2,2288.0,657.0,259.0,433.0,131.0,49.0,8633
17,11,10,62.0,40.0,37.0,53.72,39.14,2081.0,440.0,157.0,419.0,128.0,3.0,8560
18,16,4,70.0,53.0,30.0,42.61,38.74,2270.0,433.0,146.0,425.0,122.0,23.0,8302
11,15,12,48.0,48.0,53.0,40.08,48.29,1652.0,403.0,143.0,445.0,164.0,-5.0,10267
16,11,11,59.0,63.0,37.0,65.76,45.23,2167.0,455.0,173.0,415.0,135.0,26.0,10205
11,8,19,41.0,49.0,65.0,45.94,62.88,1713.0,442.0,160.0,543.0,207.0,-16.0,9865
13,10,15,49.0,58.0,55.0,51.28,55.37,1946.0,455.0,170.0,493.0,168.0,3.0,7732
11,7,20,40.0,33.0,63.0,38.88,65.76,1853.0,447.0,145.0,589.0,201.0,-30.0,10281
