index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,16/08/2024,Le Havre,Paris SG,1,4,7,4.75,1.42,1.25,1.93,2
1,17/08/2024,Brest,Marseille,1,5,3,3.3,2.4,0.25,1.89,2.04
2,17/08/2024,Reims,Lille,0,2,3.3,3.4,2.2,0,2.1,1.7
3,17/08/2024,Monaco,St Etienne,1,0,1.48,4.5,6.25,-1.5,2,1.93
4,18/08/2024,Auxerre,Nice,2,1,3.1,3.25,2.35,0.25,1.82,2.11
5,18/08/2024,Angers,Lens,0,1,5.75,3.8,1.62,1,1.87,2.06
6,18/08/2024,Montpellier,Strasbourg,1,1,2,3.3,3.75,-0.25,1.75,2.05
7,18/08/2024,Toulouse,Nantes,0,0,2.1,3.3,3.7,-0.25,1.84,2.09
8,18/08/2024,Rennes,Lyon,3,0,2.35,3.5,2.9,-0.25,2.02,1.91
9,23/08/2024,Paris SG,Montpellier,6,0,1.25,7,10,-2,2.02,1.88
10,24/08/2024,Lyon,Monaco,0,2,2.5,3.8,2.6,0,2.07,1.86
11,24/08/2024,Lille,Angers,2,0,1.36,4.75,9,-1.25,1.86,2.07
12,24/08/2024,St Etienne,Le Havre,0,2,2.1,3.4,3.5,-0.5,2.04,1.89
13,25/08/2024,Lens,Brest,2,0,1.8,3.7,4.5,-0.5,1.91,2.02
14,25/08/2024,Nantes,Auxerre,2,0,2.25,3.3,3.25,0,1.91,2.02
15,25/08/2024,Nice,Toulouse,1,1,1.85,3.4,4.5,-0.25,1.85,2.08
16,25/08/2024,Strasbourg,Rennes,3,1,3.1,3.5,2.25,0.25,1.9,2.03
17,25/08/2024,Marseille,Reims,2,2,1.53,4.5,5.5,-1.5,2.06,1.87
18,30/08/2024,Lyon,Strasbourg,4,3,1.85,3.75,4,-0.5,2.05,1.75
19,31/08/2024,Brest,St Etienne,4,0,1.8,3.8,4.33,-0.75,2.02,1.91
20,31/08/2024,Montpellier,Nantes,1,3,2.25,3.4,3.2,-0.25,2,1.93
21,31/08/2024,Toulouse,Marseille,1,3,3.8,3.8,1.9,0.25,1.93,2
22,01/09/2024,Monaco,Lens,1,1,1.85,3.9,3.9,-0.5,2.08,1.85
23,01/09/2024,Angers,Nice,1,4,4,3.3,2,0.5,1.96,1.97
24,01/09/2024,Le Havre,Auxerre,3,1,2.75,3.3,2.6,0,2.08,1.85
25,01/09/2024,Reims,Rennes,2,1,2.9,3.5,2.38,0.25,1.98,1.95
26,01/09/2024,Lille,Paris SG,1,3,3.9,3.8,1.85,0.75,1.87,2.06
27,13/09/2024,St Etienne,Lille,1,0,5.5,3.6,1.7,0.75,1.95,1.95
28,14/09/2024,Marseille,Nice,2,0,1.7,3.9,4.5,-0.5,1.9,2.03
29,14/09/2024,Auxerre,Monaco,0,3,3.9,3.75,1.85,0.75,1.93,2
30,14/09/2024,Paris SG,Brest,3,1,1.27,6,10,-1.75,2.07,1.86
31,15/09/2024,Rennes,Montpellier,3,0,1.62,4,5.25,-1.25,1.9,2.03
32,15/09/2024,Nantes,Reims,1,2,2.38,3.4,3,-0.25,2.11,1.82
33,15/09/2024,Strasbourg,Angers,1,1,1.7,3.8,5.25,-0.75,1.75,2.05
