wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
3,12,23,21.0,43.0,75.0,49.36,62.04,1752.0,480.0,167.0,593.0,203.0,-32.0,9865
19,11,8,68.0,61.0,37.0,53.23,41.92,1891.0,463.0,171.0,410.0,139.0,24.0,8315
24,4,10,76.0,70.0,43.0,63.04,39.82,1929.0,481.0,205.0,453.0,147.0,27.0,9906
26,7,5,85.0,79.0,44.0,78.51,41.95,2456.0,595.0,232.0,413.0,144.0,35.0,8634
6,15,17,33.0,26.0,55.0,36.57,52.84,1633.0,398.0,123.0,510.0,178.0,-29.0,8385
10,11,17,41.0,46.0,57.0,51.17,55.1,1755.0,472.0,159.0,478.0,167.0,-11.0,9910
12,10,16,46.0,36.0,46.0,46.53,45.16,1571.0,465.0,147.0,452.0,151.0,-10.0,9866
10,13,15,43.0,42.0,54.0,46.11,54.38,1701.0,453.0,159.0,455.0,177.0,-12.0,8305
25,6,7,81.0,85.0,46.0,70.79,54.05,2172.0,478.0,191.0,503.0,169.0,39.0,7732
4,9,25,21.0,38.0,79.0,43.02,64.83,1731.0,402.0,131.0,494.0,206.0,-41.0,7878
10,10,18,40.0,33.0,47.0,33.43,57.51,2273.0,391.0,125.0,442.0,159.0,-14.0,8306
8,16,14,40.0,33.0,44.0,39.86,42.55,1701.0,411.0,138.0,473.0,150.0,-11.0,8661
12,9,17,45.0,45.0,56.0,41.01,50.43,1799.0,426.0,130.0,438.0,153.0,-11.0,8371
8,14,16,38.0,29.0,48.0,42.67,45.03,1873.0,493.0,166.0,443.0,152.0,-19.0,8370
14,15,9,57.0,48.0,45.0,44.56,50.78,1919.0,492.0,157.0,449.0,159.0,3.0,8603
29,8,1,95.0,87.0,26.0,69.72,35.87,2262.0,598.0,249.0,393.0,119.0,61.0,8633
16,12,10,60.0,51.0,39.0,45.5,42.01,2115.0,461.0,155.0,395.0,137.0,12.0,8560
10,11,17,41.0,48.0,54.0,45.18,56.76,1911.0,489.0,163.0,501.0,180.0,-6.0,8302
13,10,15,49.0,40.0,45.0,43.4,48.05,1668.0,377.0,133.0,413.0,162.0,-5.0,10267
14,11,13,53.0,65.0,65.0,56.7,59.28,1888.0,469.0,170.0,586.0,219.0,0.0,10205
11,9,18,42.0,40.0,51.0,34.88,54.73,1505.0,356.0,104.0,569.0,195.0,-11.0,8558
9,13,16,40.0,39.0,56.0,36.68,60.67,1612.0,352.0,117.0,571.0,181.0,-17.0,7854
4,4,30,16.0,26.0,90.0,34.73,69.23,1620.0,336.0,105.0,599.0,209.0,-64.0,10281
