wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
19,9,18,66.0,53.0,48.0,51.74,54.65,2260.0,471.0,159.0,564.0,181.0,5.0,8655
17,17,14,68.0,59.0,61.0,59.88,60.9,2452.0,611.0,196.0,588.0,184.0,-2.0,8427
28,16,2,100.0,69.0,16.0,58.62,38.31,2621.0,562.0,186.0,432.0,111.0,53.0,8191
9,17,20,44.0,48.0,73.0,47.4,64.75,2143.0,563.0,193.0,558.0,198.0,-25.0,8344
20,10,18,70.0,66.0,61.0,73.66,55.1,2646.0,641.0,204.0,561.0,183.0,5.0,8669
13,11,22,50.0,48.0,56.0,47.09,50.52,1995.0,464.0,145.0,520.0,167.0,-8.0,10170
12,13,21,49.0,44.0,54.0,51.92,54.02,2297.0,527.0,165.0,594.0,178.0,-10.0,8667
29,13,4,100.0,95.0,30.0,91.37,30.34,2834.0,759.0,261.0,308.0,102.0,65.0,8463
13,10,23,49.0,45.0,69.0,50.99,56.98,2070.0,527.0,160.0,563.0,202.0,-24.0,8346
18,10,18,64.0,64.0,56.0,67.37,56.39,2554.0,667.0,216.0,505.0,173.0,8.0,8549
18,12,16,66.0,47.0,49.0,54.12,50.65,1954.0,523.0,167.0,505.0,158.0,-2.0,10004
14,15,17,57.0,71.0,68.0,64.24,54.95,2679.0,545.0,192.0,542.0,181.0,3.0,9850
13,14,19,53.0,49.0,65.0,41.76,67.08,1991.0,448.0,152.0,654.0,209.0,-16.0,8653
11,13,22,46.0,51.0,88.0,40.91,85.32,1945.0,420.0,142.0,720.0,250.0,-37.0,8401
14,12,20,54.0,58.0,71.0,56.64,70.3,2060.0,515.0,166.0,616.0,217.0,-13.0,8462
10,20,16,50.0,48.0,59.0,52.02,58.74,2217.0,496.0,156.0,554.0,174.0,-11.0,8411
14,14,18,56.0,53.0,63.0,46.59,54.84,2144.0,529.0,176.0,526.0,185.0,-10.0,10172
30,8,11,98.0,70.0,38.0,68.51,47.7,2505.0,637.0,206.0,524.0,159.0,32.0,8657
15,13,18,58.0,60.0,69.0,63.22,63.86,2209.0,591.0,182.0,518.0,173.0,-9.0,10163
12,15,19,51.0,45.0,62.0,51.38,73.96,2146.0,475.0,160.0,678.0,219.0,-17.0,10194
23,14,12,83.0,63.0,47.0,63.09,54.49,2379.0,623.0,200.0,546.0,152.0,16.0,8472
17,10,19,61.0,51.0,56.0,57.17,57.92,2673.0,497.0,164.0,541.0,171.0,-5.0,10003
16,9,21,57.0,53.0,61.0,55.53,67.06,2421.0,528.0,168.0,589.0,203.0,-8.0,9817
15,19,12,64.0,57.0,47.0,59.37,45.76,2505.0,592.0,173.0,505.0,159.0,10.0,8659
15.923,12.385,17.692,60.154,61.923,63.692,68.045,50.034,2485.769,642.231,173.385,483.0,171.615,-1.769,8658
12.385,15.923,17.692,53.077,44.231,56.615,43.576,58.88,1947.923,504.231,159.231,698.846,176.923,-12.384,8451
21.231,14.154,10.615,77.846,74.308,44.231,74.237,38.941,2614.923,716.538,228.231,454.692,148.615,30.077,9902
17.692,12.385,15.923,65.462,65.462,67.231,50.918,65.656,2400.846,536.077,168.077,585.615,205.231,-1.769,8197
14.154,15.923,15.923,58.385,67.231,67.231,78.713,62.595,2650.308,674.077,238.846,608.615,169.846,0.0,8466
17.692,17.692,10.615,70.769,67.231,56.615,57.659,68.328,2119.538,502.462,175.154,700.615,210.538,10.616,9841
