wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
10.133,17.733,10.133,48.133,48.133,45.6,52.947,37.088,2158.4,567.467,177.333,407.867,152.0,2.533,8524
17.733,10.133,10.133,63.333,58.267,32.933,52.592,43.903,2153.333,519.333,167.2,392.667,129.2,25.334,9857
7.6,12.667,17.733,35.467,38.0,53.2,34.175,56.823,1687.2,364.8,129.2,494.0,192.533,-15.2,8529
15.2,15.2,7.6,60.8,48.133,30.4,49.197,38.279,2277.467,524.4,187.467,423.067,149.467,17.733,10171
12.667,12.667,12.667,50.667,45.6,45.6,40.179,58.165,1758.133,326.8,126.667,630.8,197.6,0.0,7801
0.0,15.2,22.8,15.2,30.4,65.867,51.857,55.151,1973.467,463.6,103.867,506.667,192.533,-35.467,8535
7.6,12.667,17.733,35.467,40.533,58.267,51.807,46.411,1818.933,450.933,157.067,450.933,164.667,-17.734,10233
5.067,15.2,17.733,30.4,32.933,55.733,44.587,47.5,1484.533,463.6,179.867,496.533,162.133,-22.8,9876
27.867,0.0,10.133,83.6,86.133,35.467,69.869,34.428,2262.267,663.733,212.8,347.067,121.6,50.666,8636
17.733,12.667,7.6,65.867,48.133,35.467,53.732,33.744,2176.133,597.867,195.067,407.867,116.533,12.666,9885
15.2,10.133,12.667,55.733,43.067,27.867,41.952,51.3,1925.333,433.2,169.733,519.333,174.8,15.2,8543
10.133,10.133,17.733,40.533,27.867,48.133,33.035,48.032,1722.667,390.133,103.867,450.933,159.6,-20.266,9888
22.8,12.667,2.533,81.067,60.8,32.933,59.407,44.283,1950.667,514.267,179.867,420.533,131.733,27.867,8564
25.333,2.533,10.133,78.533,55.733,32.933,55.505,41.293,2150.8,481.333,182.4,420.533,103.867,22.8,9875
7.6,12.667,17.733,35.467,25.333,45.6,37.772,48.691,1611.2,430.667,116.533,516.8,162.133,-20.267,10167
2.533,17.733,17.733,25.333,25.333,50.667,39.571,55.379,1545.333,369.867,86.133,608.0,167.2,-25.334,6479
25.333,0.0,12.667,76.0,40.533,20.267,46.74,43.117,2191.333,501.6,179.867,405.333,141.867,20.266,8686
15.2,7.6,15.2,53.2,53.2,48.133,41.141,53.504,1720.133,418.0,149.467,506.667,184.933,5.067,7943
10.133,12.667,15.2,43.067,38.0,65.867,42.636,55.987,1634.0,445.867,159.6,552.267,167.2,-27.867,9804
15.2,7.6,15.2,53.2,40.533,55.733,42.281,47.905,1798.667,491.467,152.0,461.067,144.4,-15.2,8600
