wins,draws,losses,Points Earned,goals,goals against,goal diff,id
11,10,13,43,35,51,-16,8406
19,12,3,69,72,43,29,8178
25,7,2,82,99,32,67,9823
6,7,21,25,33,67,-34,9911
17,6,11,57,71,51,20,9789
13,6,15,45,55,57,-2,9788
17,9,8,60,68,46,22,9810
8,5,21,29,37,64,-27,94937
16,7,11,55,49,53,-4,8358
7,11,16,32,46,68,-22,8226
6,7,21,25,49,80,-31,8150
14,10,10,52,55,43,12,9905
13,12,9,51,53,48,5,178475
8,8,18,32,28,41,-13,8152
10,10,14,40,35,51,-16,8149
14,8,12,50,64,53,11,10269
14,9,11,51,54,57,-3,8697
11,10,13,43,56,54,2,8721
