wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
11,10,13,43.0,35.0,51.0,35.0,49.68,1495.0,399.0,120.0,452.0,162.0,-16.0,8406
19,12,3,69.0,72.0,43.0,58.24,36.91,2018.0,505.0,192.0,334.0,135.0,29.0,8178
25,7,2,82.0,99.0,32.0,82.78,25.95,2321.0,646.0,268.0,231.0,83.0,67.0,9823
6,7,21,25.0,33.0,67.0,42.69,64.09,1521.0,436.0,139.0,487.0,159.0,-34.0,9911
17,6,11,57.0,71.0,51.0,62.69,42.68,2013.0,484.0,163.0,376.0,143.0,20.0,9789
13,6,15,45.0,55.0,57.0,50.87,64.24,1691.0,418.0,163.0,585.0,192.0,-2.0,9788
17,9,8,60.0,68.0,46.0,66.71,48.94,1696.0,485.0,182.0,469.0,166.0,22.0,9810
8,5,21,29.0,37.0,64.0,40.66,58.33,1472.0,403.0,132.0,460.0,174.0,-27.0,94937
16,7,11,55.0,49.0,53.0,44.74,43.18,1654.0,409.0,143.0,432.0,151.0,-4.0,8358
7,11,16,32.0,46.0,68.0,43.32,57.02,1656.0,443.0,153.0,491.0,174.0,-22.0,8226
6,7,21,25.0,49.0,80.0,40.29,61.86,1487.0,373.0,141.0,555.0,202.0,-31.0,8150
14,10,10,52.0,55.0,43.0,50.73,49.54,1711.0,421.0,149.0,464.0,157.0,12.0,9905
13,12,9,51.0,53.0,48.0,47.13,54.46,1780.0,409.0,152.0,500.0,164.0,5.0,178475
8,8,18,32.0,28.0,41.0,35.65,46.41,1494.0,379.0,113.0,380.0,144.0,-13.0,8152
10,10,14,40.0,35.0,51.0,37.39,48.68,1375.0,417.0,124.0,416.0,141.0,-16.0,8149
14,8,12,50.0,64.0,53.0,63.47,47.43,1955.0,471.0,182.0,389.0,139.0,11.0,10269
14,9,11,51.0,54.0,57.0,50.63,48.43,1695.0,429.0,146.0,470.0,161.0,-3.0,8697
11,10,13,43.0,56.0,54.0,48.39,53.55,1566.0,437.0,145.0,473.0,160.0,2.0,8721
9.067,9.067,15.867,36.267,49.867,54.4,46.625,53.811,1634.267,426.133,151.867,478.267,158.667,-4.533,8722
9.067,9.067,15.867,36.267,36.267,56.667,41.752,50.637,1584.4,442.0,156.4,476.0,167.733,-20.4,9790
4.533,13.6,15.867,27.2,29.467,49.867,39.893,42.5,1328.267,414.8,160.933,444.267,145.067,-20.4,9876
13.6,6.8,13.6,47.6,47.6,43.067,36.811,47.872,1539.067,374.0,133.733,453.333,165.467,4.533,7943
