wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
23,9,6,78.0,90.0,47.0,75.66,41.67,2077.0,621.0,232.0,325.0,115.0,43.0,8524
7,12,19,33.0,40.0,75.0,41.25,64.86,1609.0,418.0,134.0,503.0,178.0,-35.0,6266
10,11,17,41.0,51.0,65.0,56.06,62.14,1932.0,499.0,180.0,534.0,197.0,-14.0,9857
9,10,19,37.0,43.0,59.0,48.06,62.88,1695.0,434.0,131.0,555.0,204.0,-16.0,8529
6,5,27,23.0,45.0,92.0,40.76,72.93,1759.0,362.0,122.0,593.0,218.0,-47.0,9884
9,13,16,40.0,47.0,59.0,45.12,62.03,1755.0,372.0,124.0,455.0,153.0,-12.0,8535
10,12,16,42.0,47.0,58.0,39.23,61.58,1694.0,342.0,126.0,542.0,190.0,-11.0,10233
11,12,15,45.0,46.0,48.0,46.79,52.92,1877.0,403.0,125.0,537.0,147.0,-2.0,9876
28,7,3,91.0,89.0,35.0,75.33,40.6,1989.0,552.0,204.0,386.0,119.0,54.0,8636
23,9,6,78.0,77.0,38.0,76.63,39.74,2166.0,595.0,216.0,433.0,122.0,39.0,9885
21,5,12,68.0,61.0,55.0,59.01,47.82,2020.0,524.0,186.0,401.0,151.0,6.0,8543
24,7,7,79.0,74.0,41.0,72.56,48.05,1973.0,557.0,206.0,462.0,138.0,33.0,8564
24,5,9,77.0,86.0,41.0,68.97,43.06,2097.0,645.0,226.0,392.0,124.0,45.0,9875
3,11,24,20.0,39.0,83.0,42.73,61.89,1812.0,397.0,130.0,528.0,191.0,-44.0,10167
18,8,12,62.0,68.0,58.0,68.14,47.14,2002.0,545.0,200.0,397.0,169.0,10.0,8686
15,7,16,52.0,52.0,54.0,46.5,57.49,1713.0,428.0,141.0,515.0,179.0,-2.0,9882
17,11,10,62.0,64.0,56.0,59.29,56.15,2307.0,530.0,180.0,528.0,190.0,8.0,7943
9,12,17,39.0,52.0,72.0,47.23,65.9,1978.0,387.0,136.0,425.0,179.0,-20.0,9881
7,16,15,37.0,50.0,69.0,50.73,63.05,1797.0,463.0,151.0,506.0,159.0,-19.0,9804
10,10,18,40.0,42.0,58.0,44.92,53.07,1748.0,408.0,132.0,465.0,159.0,-16.0,8600
10,11,17,41.0,50.0,70.0,45.29,67.66,1793.0,497.0,164.0,668.0,227.0,-20.0,8534
7,10,21,31.0,33.0,78.0,37.42,66.03,1556.0,431.0,140.0,591.0,221.0,-45.0,6480
6,9,23,27.0,34.0,69.0,37.02,74.11,1598.0,355.0,120.0,678.0,237.0,-35.0,7881
