spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-0.5,1.95,1.9,1.95,3.5,3.9,2025-09-13T13:30:00.000Z,8722,8721,False,3,3,1,2.5,1.735,15.0,4.0,44.0,3.5,23.0,0.5,1.215,15.5,2.0,56.0,1.0,35.0,3.0,0.167,0.625,0.032,0.25,2.0,1.535,13.0,4.0,45.5,2.0,16.0,1.0,1.335,12.0,2.5,54.5,2.5,26.0,2.0,0.154,0.5,0.083,0.4
-0.5,1.95,1.9,1.95,3.5,3.9,2025-09-13T13:30:00.000Z,8722,8721,False,3,3,1,2.5,1.735,15.0,4.0,44.0,3.5,23.0,0.5,1.215,15.5,2.0,56.0,1.0,35.0,3.0,0.167,0.625,0.032,0.25,2.0,1.535,13.0,4.0,45.5,2.0,16.0,1.0,1.335,12.0,2.5,54.5,2.5,26.0,2.0,0.154,0.5,0.083,0.4
1,1.93,1.93,5.5,4.5,1.55,2025-09-13T13:30:00.000Z,9789,94937,False,2,0,2,3.0,2.035,9.5,6.5,57.0,4.0,20.0,1.5,1.215,11.5,5.0,43.0,2.0,20.5,2.0,0.316,0.462,0.13,0.3,0.5,0.87,6.0,2.5,41.5,1.5,11.5,2.5,2.34,17.0,5.0,58.5,4.5,28.0,0.0,0.083,0.2,0.147,0.5
0,1.93,1.93,2.9,3.6,2.35,2025-09-13T13:30:00.000Z,8358,10269,True,3,1,2,1.0,1.285,17.0,5.5,63.0,2.0,30.5,1.0,1.08,11.5,4.0,37.0,1.0,23.5,1.5,0.059,0.182,0.087,0.25,1.0,1.755,14.0,3.0,60.5,2.0,28.5,3.5,1.725,16.0,5.5,39.5,2.5,22.0,0.0,0.071,0.333,0.219,0.636
0,2.1,1.78,2.6,3.4,2.7,2025-09-13T13:30:00.000Z,8226,8149,False,4,2,2,1.5,0.91,13.5,5.0,49.0,1.0,25.5,2.0,1.135,8.0,4.0,51.0,2.5,15.0,1.5,0.111,0.3,0.25,0.5,1.0,0.74,10.0,2.5,30.0,1.0,14.0,2.0,2.12,16.0,6.0,70.0,4.0,27.5,1.5,0.1,0.4,0.125,0.333
-0.5,1.88,1.98,1.65,4.33,4.5,2025-09-20T16:30:00.000Z,8722,178475,False,1,3,0,2.667,1.707,14.667,5.333,44.0,3.0,23.333,1.333,1.31,15.0,3.333,56.0,2.0,29.667,2.333,0.182,0.5,0.089,0.4,1.0,1.52,16.667,3.0,49.0,2.333,28.667,2.0,1.213,12.333,5.0,51.0,2.667,27.667,2.0,0.06,0.333,0.162,0.4
0,1.88,1.98,2.9,3.5,2.35,2025-09-28T15:30:00.000Z,8722,10269,True,1,2,0,1.25,1.302,14.5,5.25,58.5,2.25,25.0,1.25,1.165,11.5,4.0,41.5,1.75,21.5,1.5,0.086,0.238,0.109,0.312,2.25,1.705,14.25,4.5,46.25,3.0,25.0,1.75,1.802,15.75,4.5,53.75,3.0,33.0,1.75,0.158,0.5,0.111,0.389
-0.5,1.98,1.88,1.91,3.7,3.75,2025-10-03T18:30:00.000Z,8722,8226,False,1,0,2,2.0,1.58,14.4,5.0,45.6,2.8,25.4,1.8,1.816,15.6,4.6,54.4,3.0,32.6,1.4,0.139,0.4,0.115,0.391,1.8,1.594,12.8,5.2,50.4,2.2,26.6,2.2,1.842,12.0,5.2,49.6,3.0,20.4,1.4,0.141,0.346,0.183,0.423
-0.5,2.03,1.83,1.95,3.9,3.5,2025-10-18T13:30:00.000Z,8722,8406,True,1,1,1,1.6,0.988,11.2,4.0,49.0,1.0,20.4,2.4,2.218,14.0,6.0,51.0,3.6,29.0,0.6,0.143,0.4,0.171,0.4,2.0,1.496,14.0,5.4,43.6,2.6,25.4,1.8,1.736,14.8,5.0,56.4,3.0,29.0,1.4,0.143,0.37,0.122,0.36
0,1.98,1.88,2.88,3.5,2.35,2025-10-18T13:30:00.000Z,94937,8697,True,2,2,1,1.6,1.634,12.0,5.0,46.8,2.2,18.8,2.0,2.044,15.6,5.6,53.2,3.6,27.8,1.4,0.133,0.32,0.128,0.357,0.6,1.204,9.4,3.6,38.8,2.2,16.2,1.6,1.83,16.8,6.0,61.2,3.0,28.0,0.6,0.064,0.167,0.095,0.267
-1.25,1.93,1.93,1.44,4.75,6.5,2025-10-18T13:30:00.000Z,9790,178475,False,1,2,0,1.2,1.254,13.4,5.6,45.6,1.8,19.2,1.6,1.8,16.2,6.4,54.4,2.8,30.0,1.4,0.09,0.214,0.099,0.25,1.6,2.16,17.8,5.0,51.2,3.4,34.8,0.4,1.512,13.6,2.8,48.8,2.4,28.0,2.6,0.09,0.32,0.029,0.143
0.25,1.78,2.1,2.63,3.6,2.5,2025-10-18T13:30:00.000Z,10269,8721,False,3,0,2,1.4,1.268,14.0,5.2,56.0,1.8,23.4,0.8,1.156,11.6,4.4,44.0,2.0,21.4,2.4,0.1,0.269,0.069,0.182,1.0,1.432,14.0,3.4,48.8,2.8,20.6,1.8,1.764,14.6,5.2,51.2,2.6,33.2,0.4,0.071,0.294,0.123,0.346
-1.5,2.03,1.83,1.44,5.25,6.5,2025-10-25T16:30:00.000Z,8722,9789,False,0,1,0,1.4,1.19,12.2,4.6,47.0,1.8,24.2,1.8,1.778,14.4,5.4,53.0,3.2,26.2,1.0,0.115,0.304,0.125,0.333,1.4,1.554,12.4,4.0,54.2,1.6,26.6,0.6,1.05,10.2,2.6,45.8,1.6,17.4,2.0,0.113,0.35,0.059,0.231
0,1.83,2.03,2.1,3.7,3.2,2025-11-02T14:30:00.000Z,8722,9790,True,4,1,2,1.4,1.928,19.0,6.6,52.8,2.6,27.6,0.8,1.29,11.6,4.0,47.2,2.4,21.8,1.4,0.074,0.212,0.069,0.2,0.8,0.938,10.4,3.0,44.2,1.6,21.6,1.4,1.858,17.0,6.0,55.8,2.8,32.2,0.8,0.077,0.267,0.082,0.233
-0.5,2.03,1.83,2.2,3.6,3.1,2025-11-08T17:30:00.000Z,8722,9788,False,1,3,0,1.4,1.342,12.4,4.6,43.2,2.8,22.6,1.0,1.42,15.6,5.4,56.8,2.0,27.0,1.4,0.113,0.304,0.064,0.185,1.8,1.204,8.8,5.2,43.2,2.2,15.2,2.4,1.916,18.4,5.6,56.8,2.6,32.4,0.8,0.205,0.346,0.13,0.429
0,2.05,1.8,3,3.75,2.2,2025-11-22T17:30:00.000Z,8722,9810,True,3,4,0,1.2,1.128,10.8,3.4,53.6,3.0,22.2,1.2,0.852,9.0,2.6,46.4,2.0,20.2,1.6,0.111,0.353,0.133,0.462,1.4,1.57,13.2,4.2,47.4,2.8,23.8,1.2,1.642,14.4,5.2,52.6,2.0,26.0,1.4,0.106,0.333,0.083,0.231
-0.25,1.88,1.98,2.25,3.8,2.9,2025-11-29T14:30:00.000Z,8722,8697,False,1,1,1,1.8,1.626,13.4,4.4,48.8,3.0,24.2,2.0,1.78,13.6,5.8,51.2,2.6,25.4,0.8,0.134,0.409,0.147,0.345,1.2,1.11,13.4,4.6,52.8,2.0,22.6,1.2,1.586,16.4,7.0,47.2,2.2,28.4,1.6,0.09,0.261,0.073,0.171
