wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
18,7,13,61.0,55.0,39.0,52.2,43.34,2041.0,459.0,152.0,415.0,132.0,16.0,9825
16,7,15,55.0,55.0,46.0,53.77,51.81,1834.0,520.0,186.0,538.0,189.0,9.0,10252
9,14,15,41.0,40.0,46.0,51.64,35.85,1945.0,487.0,143.0,358.0,127.0,-6.0,10204
10,9,19,39.0,33.0,55.0,39.95,55.69,1588.0,384.0,130.0,570.0,187.0,-22.0,8191
19,10,9,67.0,58.0,36.0,62.88,30.38,2337.0,556.0,210.0,336.0,109.0,22.0,8455
12,8,18,44.0,41.0,66.0,34.52,59.38,1523.0,349.0,132.0,539.0,176.0,-25.0,9826
17,8,13,59.0,47.0,48.0,46.39,50.68,1766.0,400.0,148.0,505.0,162.0,-1.0,8668
5,13,20,28.0,27.0,53.0,40.95,53.46,1892.0,442.0,136.0,428.0,172.0,-26.0,9879
18,5,15,59.0,62.0,54.0,56.36,58.68,2187.0,522.0,199.0,558.0,201.0,8.0,8463
20,6,12,66.0,68.0,50.0,56.07,46.65,2072.0,485.0,185.0,370.0,139.0,18.0,8197
20,9,9,69.0,68.0,42.0,68.29,43.61,2368.0,608.0,214.0,332.0,144.0,26.0,8650
27,5,6,86.0,83.0,32.0,68.91,30.99,2419.0,599.0,218.0,283.0,100.0,51.0,8456
21,11,6,74.0,73.0,44.0,60.9,41.92,2123.0,526.0,213.0,428.0,141.0,29.0,10260
12,9,17,45.0,46.0,62.0,44.36,58.72,1459.0,397.0,142.0,572.0,194.0,-16.0,10261
7,2,29,23.0,20.0,63.0,33.23,62.85,1573.0,323.0,99.0,543.0,215.0,-43.0,8657
12,7,19,43.0,47.0,68.0,41.76,53.4,1980.0,424.0,168.0,428.0,180.0,-21.0,8466
18,8,12,62.0,68.0,45.0,53.75,50.01,1963.0,443.0,176.0,486.0,158.0,23.0,8586
5,11,22,26.0,35.0,76.0,36.13,69.04,1430.0,339.0,112.0,599.0,247.0,-41.0,8659
19,8,11,65.0,62.0,47.0,56.64,49.29,1626.0,468.0,165.0,464.0,152.0,15.0,8654
12,9,17,45.0,36.0,52.0,36.84,49.79,1874.0,463.0,154.0,442.0,157.0,-16.0,8602
13,7,18,46.0,48.0,56.0,49.05,49.97,1692.0,442.0,155.0,503.0,183.0,-8.0,9937
5,7,26,22.0,23.0,84.0,33.34,77.66,1616.0,373.0,109.0,631.0,230.0,-61.0,9850
6,5,27,23.0,34.0,77.0,41.31,65.59,1530.0,399.0,127.0,561.0,193.0,-43.0,9817
