spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0.25,1.98,1.95,3.2,3.1,2.38,2024-08-25T16:30:00.000Z,8524,9804,False,1,2,0,4.0,1.74,11.0,6.0,53.0,5.0,20.0,0.0,1.58,21.0,4.0,47.0,4.0,25.0,3.0,0.364,0.667,0.0,0.0,2.0,0.99,7.0,3.0,44.0,2.0,8.0,2.0,2.13,26.0,6.0,56.0,4.0,41.0,1.0,0.286,0.667,0.077,0.333
0.25,1.98,1.95,3.2,3.1,2.38,2024-08-25T16:30:00.000Z,8524,9804,False,1,2,0,4.0,1.74,11.0,6.0,53.0,5.0,20.0,0.0,1.58,21.0,4.0,47.0,4.0,25.0,3.0,0.364,0.667,0.0,0.0,2.0,0.99,7.0,3.0,44.0,2.0,8.0,2.0,2.13,26.0,6.0,56.0,4.0,41.0,1.0,0.286,0.667,0.077,0.333
-1.25,2.1,1.83,1.42,4.75,7,2024-08-25T16:30:00.000Z,8535,7881,True,0,0,1,1.0,0.62,11.0,2.0,33.0,2.0,18.0,3.0,2.39,13.0,6.0,67.0,5.0,28.0,0.0,0.091,0.5,0.231,0.5,1.0,0.75,15.0,7.0,61.0,1.0,19.0,1.0,1.82,14.0,6.0,39.0,3.0,23.0,1.0,0.067,0.143,0.071,0.167
-1,1.85,2.08,1.57,4.33,5.5,2024-08-30T18:45:00.000Z,8524,8636,False,0,4,0,2.5,2.44,18.0,7.5,55.5,5.0,32.5,1.0,1.98,17.0,5.5,44.5,5.0,21.5,1.5,0.139,0.333,0.059,0.182,2.0,2.19,14.0,5.5,64.0,4.0,26.5,1.0,1.19,11.5,5.5,36.0,2.0,13.5,2.0,0.143,0.364,0.087,0.182
-0.5,1.84,2.09,1.8,3.6,4.5,2024-09-15T13:00:00.000Z,8524,8535,True,3,2,2,1.0,1.237,15.667,7.0,61.333,1.667,25.667,1.0,0.917,8.667,4.333,38.667,2.0,15.0,1.0,0.064,0.143,0.115,0.231,1.667,2.08,15.667,5.333,52.0,3.667,28.0,2.0,1.757,15.667,5.0,48.0,4.333,22.667,1.0,0.106,0.313,0.128,0.4
-0.5,1.97,1.96,1.8,3.5,4.75,2024-09-15T13:00:00.000Z,9888,9804,False,0,0,1,0.333,1.183,16.0,4.0,40.333,2.667,19.667,2.0,2.013,14.333,3.667,59.667,4.667,29.667,1.0,0.021,0.083,0.14,0.545,1.667,1.47,10.667,5.333,48.0,3.667,14.667,1.0,2.037,21.333,6.333,52.0,3.0,36.333,2.333,0.156,0.313,0.047,0.158
-1,1.92,2.01,1.44,4.5,7,2024-09-24T18:45:00.000Z,8524,10171,True,2,3,0,0.75,1.137,13.0,3.0,48.75,1.5,21.5,1.75,1.047,12.0,4.75,51.25,1.5,19.5,0.5,0.058,0.25,0.146,0.368,2.0,1.973,15.0,5.75,51.75,3.75,27.0,2.0,1.805,15.0,5.0,48.25,4.25,20.5,1.5,0.133,0.348,0.133,0.4
0,2.05,1.88,3,3.3,2.4,2024-09-28T18:45:00.000Z,8524,9857,False,1,1,1,2.0,1.896,13.6,5.6,53.2,3.4,27.4,2.2,1.656,14.8,5.4,46.8,3.6,18.8,1.2,0.147,0.357,0.149,0.407,1.2,1.442,14.6,4.8,63.4,2.2,24.0,1.6,1.232,8.6,3.2,36.6,1.8,14.8,1.2,0.082,0.25,0.186,0.5
-1.25,1.89,2.04,1.45,4.75,6.5,2024-10-05T16:00:00.000Z,8524,10233,True,5,1,2,0.4,0.876,11.6,2.4,44.4,1.0,16.6,1.6,1.684,11.8,3.6,55.6,3.4,21.8,0.8,0.034,0.167,0.136,0.444,1.4,1.948,16.0,5.4,55.4,3.2,33.0,2.4,1.36,11.6,4.8,44.6,2.8,15.8,0.8,0.087,0.259,0.207,0.5
1.25,1.84,2.09,5.5,4,1.62,2024-10-20T13:00:00.000Z,8524,7881,False,2,0,2,2.2,2.05,15.6,5.2,56.4,3.8,32.2,2.2,1.03,10.4,3.8,43.6,1.8,14.6,1.4,0.141,0.423,0.212,0.579,0.8,1.07,12.6,3.6,42.0,2.2,18.4,1.8,1.574,15.0,4.4,58.0,2.0,24.2,0.6,0.063,0.222,0.12,0.409
