wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
22,8,8,74.0,78.0,37.0,66.84,39.97,2101.0,545.0,194.0,406.0,153.0,41.0,8524
16,14,8,62.0,57.0,47.0,49.61,37.56,2225.0,512.0,175.0,320.0,108.0,10.0,9857
9,9,20,36.0,40.0,56.0,42.82,56.6,1698.0,424.0,123.0,503.0,155.0,-16.0,8529
13,10,15,49.0,49.0,52.0,45.21,44.07,2084.0,521.0,180.0,383.0,148.0,-3.0,10171
6,13,19,31.0,33.0,59.0,32.57,50.89,1571.0,370.0,111.0,515.0,161.0,-26.0,8534
19,8,11,65.0,60.0,41.0,49.38,43.03,1919.0,447.0,175.0,443.0,148.0,19.0,8535
10,13,15,43.0,37.0,49.0,37.8,47.67,1734.0,385.0,122.0,480.0,163.0,-12.0,10233
10,7,21,37.0,34.0,66.0,34.84,54.21,1460.0,375.0,99.0,505.0,177.0,-32.0,9876
24,9,5,81.0,79.0,35.0,68.33,36.25,2270.0,574.0,192.0,399.0,133.0,44.0,8636
18,16,4,70.0,58.0,35.0,51.4,35.54,2186.0,515.0,188.0,399.0,122.0,23.0,9885
18,11,9,65.0,61.0,49.0,57.74,38.62,2096.0,535.0,200.0,384.0,122.0,12.0,8543
8,10,20,34.0,27.0,58.0,34.82,58.17,1655.0,454.0,125.0,531.0,185.0,-31.0,9888
18,9,11,63.0,61.0,43.0,63.52,41.01,2054.0,563.0,196.0,431.0,144.0,18.0,8564
3,9,26,18.0,28.0,69.0,30.95,55.58,1844.0,336.0,103.0,567.0,188.0,-41.0,6504
24,10,4,82.0,59.0,27.0,53.76,30.67,2074.0,504.0,157.0,364.0,98.0,32.0,9875
7,15,16,36.0,44.0,58.0,44.94,57.62,1678.0,425.0,148.0,542.0,165.0,-14.0,10167
20,9,9,69.0,56.0,35.0,53.56,41.42,2050.0,521.0,176.0,441.0,153.0,21.0,8686
10,14,14,44.0,39.0,45.0,35.18,51.64,1802.0,387.0,130.0,529.0,181.0,-6.0,9804
12,8,18,44.0,41.0,56.0,39.96,52.35,1795.0,434.0,143.0,504.0,170.0,-15.0,8600
5,14,19,29.0,32.0,56.0,37.48,57.84,1704.0,386.0,128.0,567.0,191.0,-24.0,7881
12.667,12.667,12.667,50.667,45.6,45.6,40.179,58.165,1758.133,326.8,126.667,630.8,197.6,0.0,7801
2.533,17.733,17.733,25.333,25.333,50.667,39.571,55.379,1545.333,369.867,86.133,608.0,167.2,-25.334,6479
15.2,7.6,15.2,53.2,53.2,48.133,41.141,53.504,1720.133,418.0,149.467,506.667,184.933,5.067,7943
