index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,12/09/2020,Eibar,Celta,0,0,2.5,3.25,2.9,0,1.94,1.96
1,12/09/2020,Granada,Ath Bilbao,2,0,2.75,3.1,2.75,0,1.74,2.19
2,12/09/2020,Cadiz,Osasuna,0,2,2.8,3,2.75,0.25,1.72,2.07
3,13/09/2020,Alaves,Betis,0,1,2.8,3.2,2.6,0.25,1.93,1.97
4,13/09/2020,Valladolid,Sociedad,1,1,2.8,3.2,2.6,0,2.07,1.83
5,13/09/2020,Villarreal,Huesca,1,1,1.57,4,6,-1,1.95,1.95
6,13/09/2020,Valencia,Levante,4,2,2.1,3.5,3.5,-0.25,2.09,1.81
7,19/09/2020,Villarreal,Eibar,2,1,1.57,4,6,-0.75,1.91,2.02
8,19/09/2020,Getafe,Osasuna,1,0,1.95,3.25,4.33,-0.5,2.03,1.9
9,19/09/2020,Celta,Valencia,2,1,2.2,3.6,3.1,-0.25,1.87,2.06
10,20/09/2020,Huesca,Cadiz,0,2,2.1,3.1,4,-0.5,2,1.93
11,20/09/2020,Betis,Valladolid,2,0,1.85,3.6,4.33,-0.5,1.91,2.02
12,20/09/2020,Granada,Alaves,2,1,2.05,3.1,4.2,-0.25,1.89,2.04
13,20/09/2020,Sociedad,Real Madrid,0,0,4.75,3.8,1.72,0.75,1.8,2
14,26/09/2020,Alaves,Getafe,0,0,3.5,2.9,2.37,0.25,1.81,2.09
15,26/09/2020,Valencia,Huesca,1,1,2,3.4,4,-0.25,1.91,1.99
16,26/09/2020,Elche,Sociedad,0,3,4.2,3.3,1.95,0.75,2.14,1.77
17,26/09/2020,Betis,Real Madrid,2,3,4,4,1.8,0.75,1.87,2.03
18,27/09/2020,Osasuna,Levante,1,3,2.3,3.2,3.25,-0.25,1.87,2.03
19,27/09/2020,Eibar,Ath Bilbao,1,2,3,3,2.55,0.25,1.9,2
20,27/09/2020,Ath Madrid,Granada,6,1,1.5,4,7.5,-1.25,2.14,1.77
21,27/09/2020,Cadiz,Sevilla,1,3,5,3.6,1.7,0.75,1.89,2.01
22,27/09/2020,Valladolid,Celta,1,1,2.8,3,2.7,0.25,1.84,2.06
23,27/09/2020,Barcelona,Villarreal,4,0,1.53,4.33,6,-1,1.82,2.08
24,29/09/2020,Sociedad,Valencia,0,1,1.53,4.2,5.75,-1,1.83,2.07
25,29/09/2020,Getafe,Betis,3,0,2.45,3.1,3,-0.25,2.03,1.87
26,30/09/2020,Huesca,Ath Madrid,0,0,7.5,4.2,1.45,1,1.82,2.11
27,30/09/2020,Villarreal,Alaves,3,1,1.57,3.8,5.75,-1,2,1.9
28,30/09/2020,Eibar,Elche,0,1,1.8,3.5,4.5,-0.75,1.94,1.99
29,30/09/2020,Real Madrid,Valladolid,1,0,1.22,6,11,-1.75,1.93,2
30,01/10/2020,Ath Bilbao,Cadiz,0,1,1.53,3.8,6.5,-0.75,2,1.93
31,01/10/2020,Sevilla,Levante,1,0,1.4,4.5,7.5,-1,1.82,2.11
32,01/10/2020,Celta,Barcelona,0,3,5.75,4.2,1.53,1.25,1.89,2.04
33,03/10/2020,Valladolid,Eibar,1,2,2.35,3,3.4,-0.25,1.68,2.15
34,03/10/2020,Ath Madrid,Villarreal,0,0,1.61,3.9,5.5,-1,2.08,1.85
35,03/10/2020,Elche,Huesca,0,0,3.1,3.1,2.45,0.25,2.05,1.75
36,03/10/2020,Sociedad,Getafe,3,0,2.25,3.1,3.5,-0.5,2.09,1.84
37,03/10/2020,Valencia,Betis,0,2,2.8,3.2,2.6,0.25,1.9,2.03
38,04/10/2020,Osasuna,Celta,2,0,2.7,3.1,2.75,0,2.09,1.84
