wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
11,13,14,46.0,46.0,42.0,43.15,37.81,1891.0,404.0,135.0,376.0,113.0,4.0,8315
26,8,4,86.0,67.0,25.0,53.21,37.85,1989.0,459.0,186.0,361.0,122.0,42.0,9906
24,7,7,79.0,85.0,38.0,74.26,41.24,2500.0,583.0,243.0,328.0,130.0,47.0,8634
11,11,16,44.0,36.0,58.0,35.0,55.93,1301.0,303.0,102.0,449.0,154.0,-22.0,8385
14,11,13,53.0,55.0,57.0,50.77,51.85,2040.0,357.0,142.0,414.0,141.0,-2.0,9910
9,11,18,38.0,36.0,57.0,43.27,50.19,1619.0,347.0,104.0,398.0,151.0,-21.0,9866
6,12,20,30.0,29.0,52.0,45.81,46.32,1884.0,452.0,136.0,350.0,138.0,-23.0,8372
8,12,18,36.0,34.0,55.0,30.2,61.64,1802.0,268.0,90.0,474.0,165.0,-21.0,10268
9,11,18,38.0,28.0,43.0,34.69,40.55,1627.0,360.0,106.0,320.0,114.0,-15.0,8305
13,7,18,46.0,47.0,65.0,41.72,57.09,1554.0,359.0,126.0,480.0,173.0,-18.0,7878
9,14,15,41.0,46.0,57.0,40.72,54.33,1988.0,382.0,131.0,464.0,167.0,-11.0,8581
11,11,16,44.0,37.0,48.0,39.8,48.22,1637.0,374.0,123.0,429.0,144.0,-11.0,8371
17,10,11,61.0,50.0,50.0,49.64,47.47,2047.0,444.0,159.0,366.0,138.0,0.0,8603
25,9,4,84.0,67.0,28.0,62.34,37.82,2266.0,547.0,176.0,357.0,118.0,39.0,8633
17,11,10,62.0,59.0,38.0,61.92,39.77,2090.0,429.0,154.0,337.0,108.0,21.0,8560
5,16,17,31.0,34.0,57.0,40.29,53.34,1712.0,367.0,119.0,472.0,162.0,-23.0,10281
7,13,18,34.0,34.0,53.0,39.83,48.65,1833.0,408.0,136.0,421.0,150.0,-19.0,96925
24,5,9,77.0,53.0,33.0,55.43,35.17,2326.0,461.0,144.0,350.0,124.0,20.0,8302
10,13,15,43.0,50.0,53.0,43.01,53.65,1783.0,393.0,141.0,547.0,177.0,-3.0,10267
15,13,10,58.0,60.0,44.0,57.13,43.3,2111.0,405.0,163.0,409.0,127.0,16.0,10205
10,12,16,42.0,40.0,53.0,36.86,53.42,1782.0,408.0,133.0,502.0,172.0,-13.0,8558
10,9,19,39.0,36.0,63.0,40.3,51.7,1710.0,447.0,138.0,468.0,158.0,-27.0,8661
11,9,18,42.0,39.0,50.0,43.79,49.23,1896.0,504.0,141.0,414.0,166.0,-11.0,8370
