wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
14,11,21,53.0,47.0,58.0,51.3,61.72,1926.0,487.0,154.0,559.0,178.0,-11.0,8658
20,9,17,69.0,52.0,54.0,46.35,53.94,2468.0,461.0,169.0,538.0,179.0,-2.0,8655
11,11,24,44.0,48.0,72.0,49.31,72.58,1952.0,497.0,147.0,686.0,218.0,-24.0,8483
15,14,17,59.0,55.0,56.0,57.99,56.73,2277.0,452.0,151.0,554.0,171.0,-1.0,8427
29,14,3,101.0,87.0,35.0,67.0,39.09,2978.0,625.0,219.0,394.0,139.0,52.0,8191
14,10,23,52.0,42.0,58.0,47.93,56.78,2141.0,537.0,154.0,517.0,158.0,-16.0,8344
19,18,12,75.0,60.0,47.0,66.2,58.86,2288.0,629.0,204.0,546.0,169.0,13.0,8669
14,11,21,53.0,47.0,62.0,43.55,62.74,1891.0,440.0,154.0,627.0,207.0,-15.0,9796
14,16,16,58.0,51.0,61.0,47.34,62.2,2300.0,471.0,138.0,584.0,196.0,-10.0,8667
22,18,9,84.0,61.0,42.0,63.79,46.56,2228.0,594.0,188.0,530.0,139.0,19.0,8346
22,10,16,76.0,84.0,57.0,76.18,49.81,2795.0,587.0,198.0,486.0,172.0,27.0,8549
19,11,16,68.0,57.0,50.0,57.29,49.32,2084.0,617.0,188.0,505.0,156.0,7.0,10004
17,11,18,62.0,57.0,54.0,59.09,55.32,2616.0,637.0,197.0,525.0,180.0,3.0,9850
17,12,17,63.0,45.0,59.0,48.65,57.32,2191.0,491.0,159.0,587.0,181.0,-14.0,8411
13,11,22,50.0,44.0,71.0,50.79,63.32,2276.0,552.0,156.0,515.0,191.0,-27.0,10172
13,11,22,50.0,46.0,68.0,42.57,60.9,1928.0,451.0,137.0,578.0,184.0,-22.0,9798
11,17,19,50.0,49.0,61.0,43.02,71.86,1952.0,403.0,133.0,646.0,233.0,-12.0,8119
28,7,11,91.0,73.0,39.0,72.97,44.67,2361.0,628.0,229.0,460.0,138.0,34.0,8657
14,11,21,53.0,55.0,54.0,59.18,50.54,2433.0,586.0,205.0,468.0,155.0,1.0,10194
19,15,14,72.0,70.0,58.0,60.24,56.57,2591.0,594.0,204.0,597.0,180.0,12.0,8472
18,12,16,66.0,68.0,64.0,62.35,52.78,2944.0,600.0,217.0,453.0,175.0,4.0,10003
16,15,15,63.0,56.0,53.0,57.17,51.28,2419.0,515.0,173.0,558.0,192.0,3.0,9817
18,12,16,66.0,59.0,53.0,66.81,49.09,2456.0,611.0,198.0,488.0,147.0,6.0,8659
10,15,21,45.0,38.0,65.0,45.97,59.06,2205.0,469.0,131.0,533.0,165.0,-27.0,8528
28,12,6,96.0,92.0,57.0,75.09,47.5,2443.0,719.0,260.0,495.0,172.0,35.0,9902
28,10,11,94.0,85.0,44.0,84.52,40.53,2862.0,732.0,258.0,452.0,138.0,41.0,8463
31,4,11,97.0,89.0,41.0,85.82,43.27,2853.0,660.0,240.0,486.0,163.0,48.0,8197
13,12,21,51.0,59.0,70.0,52.93,73.86,2071.0,597.0,215.0,700.0,217.0,-11.0,8401
15,8,23,53.0,44.0,68.0,51.39,59.18,1992.0,513.0,155.0,583.0,183.0,-24.0,10163
28,10,11,94.0,91.0,64.0,83.76,52.64,3207.0,745.0,275.0,543.0,179.0,27.0,8466
