index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,29/07/2022,Huddersfield,Burnley,0,1,2.9,3.2,2.5,0,2.09,1.81
1,30/07/2022,Blackburn,QPR,1,0,2,3.5,3.75,-0.5,1.99,1.91
2,30/07/2022,Blackpool,Reading,1,0,1.95,3.5,4,-0.5,2.08,1.82
3,30/07/2022,Cardiff,Norwich,1,0,3.1,3.4,2.3,0.25,2.01,1.89
4,30/07/2022,Hull,Bristol City,2,1,2.37,3.25,3.1,-0.25,2.1,1.7
5,30/07/2022,Luton,Birmingham,0,0,1.83,3.5,4.33,-0.5,1.89,2.01
6,30/07/2022,Millwall,Stoke,2,0,2.3,3.25,3.2,-0.25,2.11,1.79
7,30/07/2022,Rotherham,Swansea,1,1,2.62,3.5,2.55,-0.25,2.06,1.84
8,30/07/2022,Wigan,Preston,0,0,2.4,3.3,3,0,2.03,1.87
9,30/07/2022,Middlesbrough,West Brom,1,1,2.25,3.4,3.25,-0.25,2.01,1.89
10,31/07/2022,Sunderland,Coventry,1,1,2.62,3.5,2.6,0,1.83,2.07
11,01/08/2022,Watford,Sheffield United,1,0,2.3,3.25,3.25,-0.25,2.03,1.87
12,05/08/2022,Birmingham,Huddersfield,2,1,2.37,3.25,3.1,-0.25,2.1,1.8
13,06/08/2022,Norwich,Wigan,1,1,1.66,3.6,5.25,-0.75,1.92,1.98
14,06/08/2022,Bristol City,Sunderland,2,3,2.45,3.25,2.9,-0.25,2.05,1.85
15,06/08/2022,Burnley,Luton,1,1,1.75,3.75,4.6,-0.75,2.01,1.89
16,06/08/2022,Preston,Hull,0,0,1.95,3.4,4,-0.5,1.9,2
17,06/08/2022,QPR,Middlesbrough,3,2,3,3.3,2.4,0.25,1.73,2.08
18,06/08/2022,Reading,Cardiff,2,1,2.5,3.25,2.9,-0.25,2.15,1.76
19,06/08/2022,Sheffield United,Millwall,2,0,1.83,3.5,4.5,-0.5,1.91,1.99
20,06/08/2022,Stoke,Blackpool,2,0,2.05,3.4,3.75,-0.25,1.77,2.02
21,06/08/2022,Swansea,Blackburn,0,3,2.4,3.25,3.1,0,1.89,2.01
22,08/08/2022,West Brom,Watford,1,1,2.37,3.1,3.2,-0.25,2.08,1.73
23,12/08/2022,Watford,Burnley,1,0,2.3,3.3,3.1,-0.25,2.08,1.82
24,13/08/2022,Cardiff,Birmingham,1,0,2.25,3.3,3.3,-0.25,1.92,1.98
25,13/08/2022,Blackpool,Swansea,0,1,2.4,3.3,3,0,1.81,2.09
26,13/08/2022,Huddersfield,Stoke,3,1,2.7,3.2,2.75,0.25,1.73,2.08
27,13/08/2022,Hull,Norwich,2,1,3.6,3.4,2.05,0.25,2.03,1.87
28,13/08/2022,Luton,Preston,0,1,2.25,3.3,3.25,-0.25,2,1.9
29,13/08/2022,Millwall,Coventry,3,2,2.45,3.2,3,-0.25,2.13,1.78
30,13/08/2022,Rotherham,Reading,4,0,2.15,3.3,3.5,-0.5,2.04,1.86
31,13/08/2022,Sunderland,QPR,2,2,2.1,3.5,3.5,-0.25,1.86,2.04
32,13/08/2022,Wigan,Bristol City,1,1,2.2,3.3,3.4,-0.25,1.92,1.98
33,14/08/2022,Middlesbrough,Sheffield United,2,2,2.45,3.3,2.9,-0.25,1.93,1.97
34,14/08/2022,Blackburn,West Brom,2,1,2.75,3.3,2.6,0.25,1.83,2.07
35,16/08/2022,Birmingham,Watford,1,1,3.6,3.4,2,0.25,2.1,1.8
36,16/08/2022,Bristol City,Luton,2,0,2.62,3.4,2.55,0,2.07,1.83
37,16/08/2022,Burnley,Hull,1,1,1.53,4,6.5,-1,1.73,2.08
38,16/08/2022,Norwich,Huddersfield,2,1,1.57,3.8,6,-0.75,1.87,2.03
39,16/08/2022,Preston,Rotherham,0,0,1.95,3.3,4,-0.5,1.86,2.04
40,16/08/2022,Swansea,Millwall,2,2,2.5,3.2,3,0,1.82,2.08
41,16/08/2022,QPR,Blackpool,0,1,2,3.6,3.75,-0.5,1.95,1.95
42,17/08/2022,Stoke,Middlesbrough,2,2,2.7,3.2,2.75,0,1.9,2
43,17/08/2022,Reading,Blackburn,3,0,3.2,3.2,2.3,0.25,1.73,2.08
