spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-0.75,1.86,2.07,1.57,4.2,5.25,2024-09-21T14:00:00.000Z,10252,8602,True,3,1,2,1.0,1.1,11.0,3.75,45.75,2.5,20.75,2.75,1.37,15.5,6.25,54.25,2.5,32.75,0.25,0.091,0.267,0.177,0.44,1.75,1.745,13.25,4.75,50.5,4.0,23.25,1.5,1.17,9.5,3.0,49.5,2.25,23.0,2.25,0.132,0.368,0.158,0.5
-1.25,2,1.93,1.55,4.5,5.5,2024-09-21T14:00:00.000Z,9937,8586,False,1,3,0,1.5,1.47,11.25,4.75,41.75,3.0,21.25,1.5,1.89,17.25,6.75,58.25,2.25,36.25,1.5,0.133,0.316,0.087,0.222,1.5,1.395,15.75,6.25,67.5,2.5,43.5,1.0,1.155,8.25,2.75,32.5,1.5,18.25,1.0,0.095,0.24,0.121,0.364
-0.25,1.84,2.06,2.45,3.4,2.88,2024-09-21T14:00:00.000Z,8668,8197,False,1,1,1,1.0,1.085,10.75,3.0,35.5,1.75,23.5,3.25,2.087,14.25,6.75,64.5,4.75,30.25,0.0,0.093,0.333,0.228,0.481,1.25,0.835,8.75,3.5,41.75,1.75,13.25,1.75,1.765,15.75,5.5,58.25,3.25,39.0,0.5,0.143,0.357,0.111,0.318
0.25,1.83,2.1,3,3.4,2.4,2024-09-21T14:00:00.000Z,9879,10261,True,3,1,2,1.5,1.323,10.0,3.75,42.25,2.25,20.75,0.75,1.63,16.75,4.75,57.75,2.25,38.0,2.5,0.15,0.4,0.045,0.158,1.0,1.177,14.5,4.25,51.0,2.25,25.25,1.0,1.062,11.5,4.0,49.0,1.75,14.5,1.25,0.069,0.235,0.087,0.25
-0.25,2.08,1.73,2.25,3.5,3.2,2024-09-21T14:00:00.000Z,9902,8466,False,1,1,1,0.5,0.385,6.25,2.0,35.75,0.75,11.0,1.75,2.15,15.5,5.0,64.25,4.0,39.25,0.5,0.08,0.25,0.113,0.35,0.25,1.15,12.0,3.75,62.5,2.0,29.5,2.0,2.038,16.5,6.5,37.5,4.5,31.75,0.0,0.021,0.067,0.121,0.308
-1,1.78,2.03,1.65,4.1,5,2024-09-30T19:00:00.000Z,8678,8466,True,3,1,2,0.4,1.418,11.8,3.6,60.8,2.4,28.2,1.8,1.968,15.8,6.4,39.2,4.0,30.2,0.2,0.034,0.111,0.114,0.281,1.0,1.74,16.8,5.6,42.6,2.6,27.6,1.6,1.562,15.0,7.4,57.4,3.0,30.4,1.0,0.06,0.179,0.107,0.216
0.5,1.89,2.06,3.1,3.75,2.15,2024-10-05T14:00:00.000Z,8678,8197,False,0,1,0,1.4,1.77,17.0,6.0,41.2,2.2,28.4,1.6,1.422,14.0,6.4,58.8,3.0,27.8,1.4,0.082,0.233,0.114,0.25,1.4,0.654,9.0,3.2,44.0,1.4,16.4,2.2,2.316,20.0,7.2,56.0,4.6,39.2,0.4,0.156,0.437,0.11,0.306
-2,1.9,2.03,1.14,9,17,2024-10-05T14:00:00.000Z,9825,8466,True,3,1,2,0.6,1.184,9.8,3.4,57.2,2.0,21.8,2.2,2.192,18.0,7.4,42.8,4.0,32.8,0.2,0.061,0.176,0.122,0.297,2.0,1.804,13.4,6.8,46.2,4.2,35.0,1.0,1.25,17.2,5.2,53.8,2.0,29.0,2.2,0.149,0.294,0.058,0.192
-0.5,2.05,1.75,2.05,3.6,3.4,2024-10-05T14:00:00.000Z,9937,8602,True,5,3,2,1.2,1.014,10.6,3.8,45.6,2.0,20.4,2.8,1.702,12.6,5.8,54.4,3.2,30.0,0.2,0.113,0.316,0.222,0.483,1.2,1.092,10.0,4.6,46.0,2.4,22.4,1.8,2.18,19.4,6.8,54.0,3.2,44.8,0.8,0.12,0.261,0.093,0.265
-1.75,2.02,1.91,1.25,7,9.5,2024-10-05T14:00:00.000Z,9879,8456,False,2,3,0,1.6,1.578,16.8,5.6,51.4,3.0,28.2,0.8,0.832,11.8,3.4,48.6,0.8,18.0,2.2,0.095,0.286,0.068,0.235,2.4,2.32,20.8,7.4,67.2,3.6,50.6,1.2,0.844,7.0,3.0,32.8,1.6,16.6,2.2,0.115,0.324,0.171,0.4
