wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
7,5,26,26.0,23.0,74.0,37.09,54.03,1637.0,320.0,89.0,420.0,166.0,-51.0,8576
4,6,28,18.0,33.0,81.0,41.46,63.55,1782.0,371.0,129.0,463.0,200.0,-48.0,8121
8,11,19,35.0,35.0,63.0,42.69,59.18,1637.0,429.0,127.0,472.0,187.0,-28.0,8583
11,11,16,44.0,44.0,54.0,43.77,57.05,1703.0,425.0,140.0,489.0,183.0,-10.0,8521
17,8,13,59.0,45.0,49.0,47.96,58.61,1839.0,403.0,151.0,487.0,168.0,-4.0,8311
25,9,4,84.0,68.0,29.0,66.84,44.21,2122.0,527.0,187.0,392.0,132.0,39.0,8588
19,10,9,67.0,65.0,44.0,70.45,41.38,2315.0,557.0,218.0,329.0,124.0,21.0,8639
15,10,13,55.0,52.0,53.0,45.31,59.22,1763.0,403.0,157.0,565.0,185.0,-1.0,8689
18,8,12,62.0,65.0,47.0,61.95,52.3,2214.0,519.0,207.0,428.0,160.0,18.0,9748
22,7,9,73.0,67.0,40.0,66.19,42.84,2161.0,553.0,186.0,427.0,145.0,27.0,8592
19,8,11,65.0,70.0,58.0,62.67,54.11,1822.0,478.0,210.0,512.0,199.0,12.0,9829
15,5,18,50.0,65.0,62.0,52.77,62.33,1731.0,442.0,176.0,523.0,205.0,3.0,10249
7,15,16,36.0,37.0,55.0,42.79,53.04,1740.0,448.0,159.0,457.0,190.0,-18.0,9830
15,13,10,58.0,48.0,37.0,58.34,45.27,1959.0,514.0,196.0,446.0,150.0,11.0,9831
27,4,7,85.0,89.0,40.0,79.09,48.85,2310.0,569.0,252.0,447.0,162.0,49.0,9847
12,15,11,51.0,45.0,45.0,62.53,53.45,1844.0,524.0,179.0,488.0,169.0,0.0,9837
21,5,12,68.0,69.0,39.0,62.63,44.83,2121.0,529.0,193.0,375.0,127.0,30.0,9851
9,13,16,40.0,51.0,59.0,48.79,56.26,1742.0,449.0,163.0,425.0,176.0,-8.0,9848
13,9,16,48.0,51.0,57.0,53.5,57.76,1952.0,457.0,183.0,541.0,184.0,-6.0,9941
4,12,22,24.0,45.0,81.0,41.14,79.69,1606.0,395.0,140.0,626.0,230.0,-36.0,10242
7,11,16,32.0,34.0,45.0,37.77,51.04,1516.0,388.0,124.0,459.0,161.0,-11.0,9746
8,5,21,29.0,35.0,58.0,34.8,55.56,1193.0,332.0,116.0,518.0,189.0,-23.0,8550
8,6,20,30.0,39.0,77.0,37.55,77.15,1609.0,370.0,121.0,551.0,217.0,-38.0,9853
8.471,8.471,19.059,33.882,46.588,65.647,47.456,61.179,1937.647,434.118,129.176,423.529,148.235,-19.059,6379
