wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
9.5,15.2,13.3,43.7,58.9,72.2,60.192,57.456,1939.9,528.2,191.9,463.6,178.6,-13.3,8678
28.5,5.7,3.8,91.2,76.0,26.6,69.54,28.272,2226.8,577.6,193.8,300.2,87.4,49.4,9825
24.7,5.7,7.6,79.8,62.7,45.6,45.524,55.67,2002.6,437.0,165.3,497.8,159.6,17.1,10252
17.1,5.7,15.2,57.0,60.8,53.2,59.869,51.148,1749.9,376.2,157.7,482.6,161.5,7.6,9937
13.3,13.3,11.4,53.2,57.0,51.3,61.579,53.713,1995.0,514.9,171.0,465.5,157.7,5.7,10204
5.7,5.7,26.6,22.8,38.0,74.1,33.972,74.86,1580.8,342.0,117.8,594.7,205.2,-36.1,8191
15.2,13.3,9.5,58.9,62.7,41.8,66.196,54.036,2217.3,528.2,180.5,406.6,134.9,20.9,8455
13.3,11.4,13.3,51.3,41.8,43.7,61.123,49.419,1639.7,446.5,144.4,435.1,152.0,-1.9,9826
15.2,7.6,15.2,53.2,41.8,45.6,43.206,57.038,1630.2,408.5,121.6,516.8,157.7,-3.8,8668
15.2,7.6,15.2,53.2,53.2,55.1,43.871,51.224,1939.9,446.5,140.6,425.6,146.3,-1.9,9879
9.5,13.3,15.2,41.8,49.4,62.7,54.473,55.176,1748.0,482.6,152.0,448.4,150.1,-13.3,8463
19.0,7.6,11.4,64.6,60.8,53.2,60.762,44.061,2333.2,571.9,159.6,412.3,140.6,7.6,8650
24.7,5.7,7.6,79.8,83.6,34.2,71.611,41.762,2228.7,539.6,201.4,355.3,123.5,49.4,8456
15.2,13.3,9.5,58.9,64.6,57.0,68.02,50.806,2031.1,609.9,207.1,431.3,148.2,7.6,10260
15.2,9.5,13.3,55.1,53.2,45.6,55.575,41.496,1991.2,482.6,176.7,408.5,142.5,7.6,10261
9.5,5.7,22.8,34.2,36.1,62.7,45.011,55.024,1888.6,469.3,152.0,482.6,167.2,-26.6,10203
13.3,17.1,7.6,57.0,39.9,36.1,31.768,53.276,1605.5,362.9,117.8,560.5,174.8,3.8,8472
13.3,11.4,13.3,51.3,53.2,45.6,36.48,48.868,1930.4,376.2,129.2,437.0,152.0,7.6,8586
5.7,9.5,22.8,26.6,39.9,77.9,38.988,66.348,1635.9,372.4,127.3,579.5,210.9,-38.0,8654
1.9,5.7,30.4,11.4,26.6,76.0,36.081,54.188,1685.3,338.2,119.7,507.3,176.7,-49.4,8602
