spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
0.5,2,1.93,4.6,4,1.7,2021-08-21T18:45:00.000Z,8534,8543,True,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2,1.93,4.6,4,1.7,2021-08-21T18:45:00.000Z,8534,8543,True,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.75,2.04,1.89,1.33,5.5,8,2021-08-28T16:30:00.000Z,8524,9857,True,0,0,1,3.0,1.67,18.0,7.0,73.0,2.0,0.0,2.0,1.47,10.0,4.0,27.0,2.0,0.0,3.0,0.167,0.429,0.2,0.5,2.0,0.72,7.0,2.0,52.0,1.0,0.0,1.0,1.29,21.0,8.0,48.0,1.0,0.0,3.0,0.286,1.0,0.048,0.125
-1.5,1.86,2.07,1.33,4.75,9.5,2021-08-28T16:30:00.000Z,8543,9881,True,6,1,2,2.0,0.83,12.0,4.0,42.0,1.0,0.0,2.0,2.82,20.0,9.0,58.0,5.0,0.0,1.0,0.167,0.5,0.1,0.222,3.0,1.51,8.0,4.0,55.0,2.0,0.0,1.0,1.21,16.0,4.0,45.0,1.0,0.0,3.0,0.375,0.75,0.062,0.25
-1,2.09,1.84,1.55,4.33,5.5,2021-09-11T18:45:00.000Z,8524,8535,True,1,2,0,1.5,1.08,10.0,7.0,58.0,1.0,11.5,2.0,1.555,8.0,3.5,42.0,2.5,7.0,1.5,0.15,0.214,0.25,0.571,1.0,0.805,14.5,2.5,55.5,0.5,0.0,0.5,0.79,12.5,4.5,44.5,1.0,0.0,2.0,0.069,0.4,0.04,0.111
1.75,1.89,2.04,10,5.5,1.3,2021-09-18T18:45:00.000Z,8524,6480,False,1,0,2,1.0,1.28,14.0,3.333,55.333,2.0,0.0,1.0,1.113,10.667,3.667,44.667,1.333,0.0,1.333,0.071,0.3,0.094,0.273,0.667,0.707,7.667,2.0,29.0,0.667,0.0,3.667,2.06,20.333,7.667,71.0,2.667,0.0,0.0,0.087,0.334,0.18,0.478
-1.25,2.02,1.77,1.5,4.75,6,2021-09-21T18:45:00.000Z,8524,7943,True,2,1,2,1.0,1.478,15.25,5.25,57.0,2.0,0.0,1.25,1.798,15.25,4.5,43.0,3.25,0.0,1.0,0.066,0.19,0.082,0.278,1.0,1.347,13.0,3.25,56.0,2.0,0.0,0.75,1.01,10.5,3.0,44.0,1.25,0.0,1.75,0.077,0.308,0.071,0.25
0.75,1.83,2.07,3.75,3.6,1.9,2021-09-21T18:45:00.000Z,8535,8636,True,1,3,0,3.75,1.763,14.5,7.25,52.5,3.5,0.0,1.0,0.91,9.75,2.5,47.5,2.0,0.0,2.5,0.259,0.517,0.103,0.4,1.75,1.205,10.75,5.25,56.5,1.25,14.375,1.5,1.6,9.5,3.75,43.5,3.0,8.75,2.25,0.163,0.333,0.158,0.4
-0.5,1.94,1.99,1.9,3.75,3.8,2021-09-25T16:00:00.000Z,8524,8636,False,2,2,1,1.2,1.454,13.2,3.6,54.4,2.4,0.0,0.8,0.982,10.0,2.6,45.6,1.4,0.0,2.0,0.091,0.333,0.08,0.308,3.6,1.854,15.0,6.8,51.4,3.8,0.0,1.0,1.048,10.6,3.2,48.6,2.0,0.0,2.6,0.24,0.529,0.094,0.312
-0.25,1.87,2.06,2.05,3.75,3.4,2021-10-03T18:45:00.000Z,8524,8564,True,2,3,0,2.2,1.868,16.4,4.0,58.0,3.0,0.0,0.6,0.838,8.0,3.0,42.0,0.8,0.0,2.6,0.134,0.55,0.075,0.2,1.2,1.69,16.2,4.2,54.2,2.4,0.0,1.0,1.51,9.6,2.2,45.8,2.6,0.0,1.6,0.074,0.286,0.104,0.455
