wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
16,11,11,59.0,65.0,48.0,63.79,45.52,2091.0,604.0,177.0,391.0,143.0,17.0,8524
12,10,16,46.0,44.0,55.0,45.28,53.08,1927.0,439.0,149.0,540.0,186.0,-11.0,9857
6,12,20,30.0,34.0,68.0,40.24,61.68,1680.0,424.0,124.0,555.0,186.0,-34.0,8529
10,11,17,41.0,50.0,70.0,45.29,67.66,1793.0,497.0,164.0,668.0,227.0,-20.0,8534
19,5,14,62.0,59.0,51.0,60.86,41.59,2207.0,513.0,186.0,356.0,127.0,8.0,8535
4,16,18,28.0,27.0,60.0,37.57,54.46,1668.0,404.0,115.0,541.0,185.0,-33.0,10233
14,11,13,53.0,65.0,59.0,50.81,49.49,1922.0,463.0,160.0,474.0,160.0,6.0,9876
25,9,4,84.0,84.0,32.0,83.58,39.72,2147.0,678.0,254.0,402.0,129.0,52.0,8636
20,10,8,70.0,57.0,37.0,52.3,38.69,1959.0,523.0,172.0,445.0,125.0,20.0,9885
18,10,10,64.0,77.0,58.0,55.97,48.17,2112.0,454.0,195.0,471.0,149.0,19.0,8543
26,8,4,86.0,69.0,31.0,60.98,36.07,2058.0,600.0,196.0,401.0,128.0,38.0,8564
24,7,7,79.0,74.0,31.0,58.47,32.87,2221.0,579.0,201.0,419.0,137.0,43.0,9875
18,9,11,63.0,59.0,43.0,66.25,38.92,1952.0,601.0,198.0,375.0,148.0,16.0,8686
7,10,21,31.0,33.0,78.0,37.42,66.03,1556.0,431.0,140.0,591.0,221.0,-45.0,6480
10,6,22,36.0,46.0,63.0,37.19,57.29,1745.0,391.0,125.0,556.0,188.0,-17.0,9882
13,11,14,50.0,64.0,66.0,56.1,67.03,2100.0,576.0,213.0,532.0,185.0,-2.0,7943
10,6,22,36.0,41.0,71.0,40.43,65.56,1622.0,386.0,135.0,644.0,212.0,-30.0,9881
13,11,14,50.0,46.0,41.0,49.74,39.18,2036.0,476.0,154.0,395.0,125.0,5.0,9804
11,14,13,47.0,61.0,58.0,51.79,53.96,1606.0,509.0,187.0,469.0,167.0,3.0,8600
6,9,23,27.0,34.0,69.0,37.02,74.11,1598.0,355.0,120.0,678.0,237.0,-35.0,7881
5,12,21,27.0,36.0,69.0,39.35,67.74,1590.0,465.0,132.0,581.0,232.0,-33.0,7801
8,12,18,36.0,33.0,46.0,36.49,42.98,1561.0,418.0,113.0,448.0,157.0,-13.0,9888
14,10,14,52.0,48.0,52.0,47.97,52.39,2105.0,412.0,145.0,487.0,175.0,-4.0,6504
