wins,draws,losses,Points Earned,goals,goals against,goal diff,id
8,9,17,33,34,60,-26,8722
9,8,17,35,26,52,-26,9912
14,10,10,52,53,39,14,8178
24,6,4,78,99,44,55,9823
20,4,10,64,75,46,29,9789
13,10,11,49,64,56,8,9788
16,12,6,60,69,53,16,9810
10,6,18,36,36,54,-18,8406
8,11,15,35,41,52,-11,8177
10,9,15,39,39,56,-17,9905
19,8,7,65,60,32,28,178475
12,9,13,45,52,52,0,8358
3,7,24,16,25,86,-61,10189
11,10,13,43,52,54,-2,8226
12,14,8,50,50,43,7,8149
12,9,13,45,56,55,1,10269
7,10,17,31,36,57,-21,8697
17,10,7,61,61,37,24,8721
