index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,06/08/2021,Bournemouth,West Brom,2,2,2.3,3.25,3.2,-0.25,2.13,1.78
1,07/08/2021,Blackburn,Swansea,2,1,2.1,3.4,3.4,-0.25,1.77,2.14
2,07/08/2021,Bristol City,Blackpool,1,1,2.15,3.4,3.3,-0.25,1.9,2
3,07/08/2021,Cardiff,Barnsley,1,1,2.2,3.4,3.2,-0.25,2.05,1.75
4,07/08/2021,Derby,Huddersfield,1,1,4.5,3.75,1.72,-0.25,1.88,2.02
5,07/08/2021,Luton,Peterboro,3,0,2.1,3.4,3.4,-0.25,1.95,1.95
6,07/08/2021,Preston,Hull,1,4,2.25,3.4,3.1,-0.25,1.93,1.97
7,07/08/2021,QPR,Millwall,1,1,2.05,3.4,3.6,-0.5,2.07,1.83
8,07/08/2021,Stoke,Reading,3,2,2.05,3.25,3.8,-0.5,1.98,1.92
9,07/08/2021,Sheffield United,Birmingham,0,1,1.75,3.5,5,-0.75,1.92,1.98
10,08/08/2021,Fulham,Middlesbrough,1,1,1.9,3.4,4.2,-0.5,1.98,1.92
11,08/08/2021,Coventry,Nott'm Forest,2,1,2.45,3.3,2.8,-0.25,1.89,2.01
12,14/08/2021,Peterboro,Derby,2,1,2.15,3.3,3.5,-0.25,2.11,1.82
13,14/08/2021,Barnsley,Coventry,1,0,2,3.3,3.9,-0.5,2.13,1.81
14,14/08/2021,Birmingham,Stoke,0,0,2.7,3.1,2.8,0.25,1.81,2.13
15,14/08/2021,Blackpool,Cardiff,0,2,3.1,3.2,2.4,0,1.94,1.99
16,14/08/2021,Huddersfield,Fulham,1,5,4.75,3.3,1.85,0.5,1.98,1.95
17,14/08/2021,Hull,QPR,0,3,2.8,3.25,2.6,-0.25,2.1,1.83
18,14/08/2021,Middlesbrough,Bristol City,2,1,1.8,3.4,5,-0.5,2.17,1.77
19,14/08/2021,Millwall,Blackburn,1,1,2.45,3.2,3,-0.25,2.06,1.87
20,14/08/2021,Nott'm Forest,Bournemouth,1,2,3.5,3.3,2.15,0,1.83,2.1
21,14/08/2021,Reading,Preston,2,1,2.2,3.2,3.5,-0.25,2.08,1.85
22,14/08/2021,West Brom,Luton,3,2,1.7,3.6,5.5,-0.75,1.89,2.04
23,14/08/2021,Swansea,Sheffield United,0,0,3,3.2,2.45,0.25,2.07,1.86
24,17/08/2021,Barnsley,Luton,0,1,2.3,3.2,3.3,-0.25,1.96,1.97
25,17/08/2021,Blackpool,Coventry,0,1,3,3.2,2.45,0,1.96,1.97
26,17/08/2021,Huddersfield,Preston,1,0,2.45,3.2,3,0,1.94,1.99
27,17/08/2021,Millwall,Fulham,1,2,3.8,3.1,2.15,0.25,2.02,1.91
28,17/08/2021,Peterboro,Cardiff,2,2,3.2,3.2,2.4,0,2.06,1.87
29,17/08/2021,Swansea,Stoke,1,3,3.1,3.1,2.45,0.25,1.84,2.09
30,17/08/2021,Reading,Bristol City,2,3,2.2,3.25,3.4,-0.25,1.99,1.94
31,18/08/2021,Birmingham,Bournemouth,0,2,3.1,3.25,2.4,0,1.84,2.09
32,18/08/2021,Hull,Derby,0,1,1.8,3.75,4.5,-0.25,1.88,2.05
33,18/08/2021,Middlesbrough,QPR,2,3,2.4,3.25,3,0,1.84,2.09
34,18/08/2021,Nott'm Forest,Blackburn,1,2,2.37,3.3,3.1,0,1.88,2.05
35,18/08/2021,West Brom,Sheffield United,4,0,2.1,3.4,3.5,-0.25,1.73,2.08
36,20/08/2021,Bristol City,Swansea,0,1,2.15,3.25,3.6,-0.25,1.93,1.97
37,21/08/2021,QPR,Barnsley,2,2,2.05,3.3,3.8,-0.5,2.05,1.75
38,21/08/2021,Blackburn,West Brom,1,2,4,3.3,1.9,0.25,2.07,1.83
39,21/08/2021,Bournemouth,Blackpool,2,2,1.65,3.8,5.5,-0.75,1.93,1.97
40,21/08/2021,Cardiff,Millwall,3,1,2.2,3.2,3.5,-0.25,2.08,1.82
41,21/08/2021,Coventry,Reading,2,1,2.05,3.4,3.6,-0.25,1.8,2
42,21/08/2021,Derby,Middlesbrough,0,0,3.1,3.1,2.45,0,1.88,2.02
43,21/08/2021,Fulham,Hull,2,0,1.36,4.75,9.5,-1.25,1.82,2.08
44,21/08/2021,Luton,Birmingham,0,5,2,3.25,3.8,-0.25,1.99,1.91
45,21/08/2021,Preston,Peterboro,1,0,2.1,3.3,3.6,-0.25,2.08,1.82
46,21/08/2021,Sheffield United,Huddersfield,1,2,1.57,3.8,5.75,-0.75,2.01,1.89
47,21/08/2021,Stoke,Nott'm Forest,1,0,1.83,3.5,4.5,-0.75,2.01,1.89
48,28/08/2021,Cardiff,Bristol City,1,2,1.95,3.4,4,-0.5,1.95,1.98
49,28/08/2021,Derby,Nott'm Forest,1,1,2.45,3.1,3.1,-0.25,2.02,1.91
50,28/08/2021,Barnsley,Birmingham,1,1,2.25,3.3,3.3,-0.25,2.17,1.77
51,28/08/2021,Fulham,Stoke,3,0,1.83,3.4,4.5,-0.5,1.83,2.1
52,28/08/2021,Huddersfield,Reading,4,0,2.37,3.25,3.1,-0.25,1.95,1.98
53,28/08/2021,Hull,Bournemouth,0,0,3.6,3.4,2.1,0.25,1.92,2.01
54,28/08/2021,Luton,Sheffield United,0,0,2.87,3.2,2.55,0.25,1.88,2.05
55,28/08/2021,Middlesbrough,Blackburn,1,1,2.1,3.3,3.6,-0.25,2.15,1.79
56,28/08/2021,Millwall,Blackpool,2,1,1.83,3.5,4.5,-0.5,1.9,2.03
57,28/08/2021,Preston,Swansea,3,1,2.25,3.3,3.3,-0.25,2,1.93
58,28/08/2021,QPR,Coventry,2,0,2.2,3.3,3.4,-0.25,1.94,1.99
59,28/08/2021,Peterboro,West Brom,0,1,5.5,3.6,1.66,0.75,1.97,1.96
60,10/09/2021,Birmingham,Derby,2,0,1.85,3.3,4.75,-0.5,2.04,1.86
61,11/09/2021,Blackburn,Luton,2,2,2.2,3.3,3.4,-0.25,1.65,2.2
62,11/09/2021,Blackpool,Fulham,1,0,6,4,1.57,1,1.73,2.08
63,11/09/2021,Bournemouth,Barnsley,3,0,1.83,3.5,4.5,-0.5,1.75,2.05
64,11/09/2021,Bristol City,Preston,0,0,2.3,3.2,3.3,-0.25,2.13,1.78
65,11/09/2021,Coventry,Middlesbrough,2,0,2.2,3.3,3.4,-0.25,1.88,2.02
66,11/09/2021,Reading,QPR,3,3,3,3.4,2.37,0.25,1.79,2.11
67,11/09/2021,Sheffield United,Peterboro,6,2,1.66,3.75,5.5,-0.75,1.92,1.98
68,11/09/2021,Stoke,Huddersfield,2,1,1.75,3.6,5,-0.5,1.96,1.94
69,11/09/2021,Swansea,Hull,0,0,2.15,3.3,3.5,-0.25,1.93,1.97
70,11/09/2021,West Brom,Millwall,1,1,1.53,4,6.5,-1,2.09,1.81
