wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
25,13,8,88.0,74.0,39.0,70.3,41.25,2621.0,581.0,214.0,424.0,153.0,35.0,8678
6,12,28,30.0,33.0,73.0,37.73,77.13,2064.0,468.0,158.0,601.0,224.0,-40.0,8283
11,14,21,47.0,50.0,75.0,53.17,56.18,2021.0,531.0,162.0,516.0,201.0,-25.0,8658
19,12,15,69.0,59.0,50.0,54.42,51.06,2061.0,508.0,193.0,500.0,183.0,9.0,8655
16,12,18,60.0,54.0,58.0,53.49,59.93,2118.0,503.0,164.0,562.0,187.0,-4.0,8483
15,10,21,55.0,62.0,77.0,52.18,71.45,2058.0,477.0,166.0,653.0,222.0,-15.0,8427
15,8,23,53.0,50.0,68.0,52.36,54.24,2065.0,510.0,173.0,518.0,169.0,-18.0,8344
17,13,16,64.0,60.0,59.0,65.78,50.64,2456.0,659.0,229.0,495.0,159.0,1.0,8669
14,13,19,55.0,45.0,53.0,42.01,56.44,2358.0,469.0,150.0,569.0,187.0,-8.0,10170
27,9,10,90.0,106.0,43.0,90.43,40.11,2797.0,739.0,279.0,406.0,137.0,63.0,9879
24,14,11,86.0,66.0,49.0,54.02,54.41,2353.0,533.0,197.0,609.0,209.0,17.0,9796
14,9,23,51.0,41.0,54.0,45.33,57.05,2132.0,467.0,139.0,594.0,223.0,-13.0,8667
21,13,14,76.0,64.0,57.0,59.31,51.47,2126.0,504.0,169.0,529.0,176.0,7.0,8346
20,10,16,70.0,59.0,50.0,61.48,43.02,2270.0,543.0,198.0,449.0,143.0,9.0,8549
18,15,13,69.0,53.0,45.0,52.25,57.82,2138.0,527.0,182.0,579.0,166.0,8.0,10004
25,11,13,86.0,77.0,43.0,67.57,54.8,2456.0,611.0,213.0,536.0,182.0,34.0,10203
9,10,27,37.0,43.0,87.0,44.63,75.8,2198.0,439.0,153.0,676.0,219.0,-44.0,8677
16,16,14,64.0,52.0,56.0,52.87,50.92,2286.0,521.0,171.0,547.0,183.0,-4.0,8411
19,9,18,66.0,60.0,59.0,50.47,57.67,2486.0,528.0,189.0,587.0,202.0,1.0,10172
13,8,25,47.0,54.0,87.0,46.32,70.42,2185.0,466.0,163.0,668.0,237.0,-33.0,9798
22,12,14,78.0,66.0,48.0,69.84,52.67,2736.0,608.0,198.0,450.0,161.0,18.0,8657
17,11,18,62.0,57.0,52.0,52.36,52.49,2408.0,534.0,167.0,482.0,156.0,5.0,10194
16,13,17,61.0,58.0,68.0,48.86,65.27,2939.0,496.0,186.0,520.0,203.0,-10.0,10003
18,13,15,67.0,52.0,45.0,69.28,44.22,2368.0,647.0,189.0,399.0,120.0,7.0,8659
29,14,3,101.0,87.0,35.0,67.0,39.09,2978.0,625.0,219.0,394.0,139.0,52.0,8191
17,11,18,62.0,57.0,54.0,59.09,55.32,2616.0,637.0,197.0,525.0,180.0,3.0,9850
11,17,19,50.0,49.0,61.0,43.02,71.86,1952.0,403.0,133.0,646.0,233.0,-12.0,8119
19,15,14,72.0,70.0,58.0,60.24,56.57,2591.0,594.0,204.0,597.0,180.0,12.0,8472
16,15,15,63.0,56.0,53.0,57.17,51.28,2419.0,515.0,173.0,558.0,192.0,3.0,9817
10,15,21,45.0,38.0,65.0,45.97,59.06,2205.0,469.0,131.0,533.0,165.0,-27.0,8528
