index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,05/08/2022,Ein Frankfurt,Bayern Munich,1,6,6,5,1.5,1.25,2,1.93
1,06/08/2022,Augsburg,Freiburg,0,4,3.3,3.5,2.15,0.25,2.04,1.89
2,06/08/2022,Bochum,Mainz,1,2,3.2,3.4,2.2,0.25,1.95,1.98
3,06/08/2022,M'gladbach,Hoffenheim,3,1,2.05,4.2,3,-0.5,2.06,1.87
4,06/08/2022,Union Berlin,Hertha,3,1,1.72,3.75,4.5,-0.5,1.9,2.03
5,06/08/2022,Wolfsburg,Werder Bremen,2,2,1.85,3.8,3.8,-0.5,2.05,1.75
6,06/08/2022,Dortmund,Leverkusen,1,0,2,4.2,3.2,-0.5,2.11,1.82
7,07/08/2022,Stuttgart,RB Leipzig,1,1,4.5,3.8,1.75,0.5,1.87,2.06
8,07/08/2022,FC Koln,Schalke 04,3,1,1.7,4,4.5,-0.5,2.11,1.82
9,12/08/2022,Freiburg,Dortmund,1,3,3,3.75,2.2,0.25,1.87,2.03
10,13/08/2022,Hertha,Ein Frankfurt,1,1,3,3.5,2.3,0.25,1.81,2.09
11,13/08/2022,Hoffenheim,Bochum,3,2,1.57,4.5,5.25,-1,1.91,1.99
12,13/08/2022,Leverkusen,Augsburg,1,2,1.3,5.75,9.5,-1.75,2.04,1.86
13,13/08/2022,RB Leipzig,FC Koln,2,2,1.44,4.75,7,-1.25,1.94,1.96
14,13/08/2022,Werder Bremen,Stuttgart,2,2,2.25,3.6,3,-0.25,2.02,1.88
15,13/08/2022,Schalke 04,M'gladbach,2,2,3.1,3.8,2.15,0.25,2,1.9
16,14/08/2022,Mainz,Union Berlin,0,0,2.2,3.25,3.4,-0.25,1.91,1.99
17,14/08/2022,Bayern Munich,Wolfsburg,2,0,1.12,9.5,17,-2.5,2.01,1.89
18,19/08/2022,M'gladbach,Hertha,1,0,1.5,4.5,6,-1.25,2.05,1.75
