wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
10,12,12,42.0,49.0,54.0,48.73,43.23,1700.0,417.0,155.0,376.0,129.0,-5.0,8722
14,8,12,50.0,57.0,49.0,51.87,43.05,1773.0,439.0,167.0,393.0,149.0,8.0,8178
21,8,5,71.0,92.0,38.0,76.18,38.08,2195.0,628.0,258.0,312.0,108.0,54.0,9823
22,5,7,71.0,83.0,44.0,72.37,43.55,1987.0,564.0,226.0,410.0,155.0,39.0,9789
11,10,13,43.0,52.0,55.0,52.94,54.05,1831.0,409.0,175.0,482.0,185.0,-3.0,9788
13,11,10,50.0,58.0,52.0,52.47,44.17,1804.0,405.0,142.0,372.0,138.0,6.0,9810
9,7,18,34.0,42.0,63.0,35.27,59.78,1406.0,359.0,106.0,538.0,207.0,-21.0,8406
7,8,19,29.0,42.0,69.0,39.77,60.86,1423.0,384.0,134.0,475.0,174.0,-27.0,8177
12,10,12,46.0,54.0,55.0,47.96,54.77,1511.0,420.0,161.0,440.0,153.0,-1.0,9905
20,6,8,66.0,64.0,41.0,63.87,37.69,1984.0,504.0,193.0,314.0,107.0,23.0,178475
17,8,9,59.0,51.0,44.0,48.56,49.38,1633.0,420.0,179.0,444.0,153.0,7.0,8358
7,10,17,31.0,35.0,71.0,40.3,57.88,1551.0,426.0,130.0,494.0,199.0,-36.0,10189
10,6,18,36.0,48.0,57.0,48.51,51.7,1637.0,407.0,139.0,481.0,164.0,-9.0,8226
18,8,8,62.0,51.0,38.0,38.35,42.99,1477.0,381.0,121.0,390.0,147.0,13.0,8149
7,12,15,33.0,45.0,57.0,48.5,45.89,1712.0,462.0,151.0,401.0,150.0,-12.0,10269
10,5,19,35.0,40.0,72.0,40.26,66.78,1567.0,400.0,130.0,534.0,202.0,-32.0,9911
10,6,18,36.0,51.0,64.0,41.53,53.61,1684.0,369.0,142.0,477.0,187.0,-13.0,8697
13,10,11,49.0,57.0,48.0,52.17,52.15,1725.0,408.0,146.0,469.0,148.0,9.0,8721
10,12,12,42,50,55,39.85,62.87,1430,395,119,525,178,-5,94937
3,8,23,17,30,86,32.76,74.24,1553,407,115,578,215,-56,8262
