wins,draws,losses,Points Earned,goals,goals against,goal diff,id
10,12,12,42,49,54,-5,8722
14,8,12,50,57,49,8,8178
21,8,5,71,92,38,54,9823
22,5,7,71,83,44,39,9789
11,10,13,43,52,55,-3,9788
13,11,10,50,58,52,6,9810
9,7,18,34,42,63,-21,8406
7,8,19,29,42,69,-27,8177
12,10,12,46,54,55,-1,9905
20,6,8,66,64,41,23,178475
17,8,9,59,51,44,7,8358
7,10,17,31,35,71,-36,10189
10,6,18,36,48,57,-9,8226
18,8,8,62,51,38,13,8149
7,12,15,33,45,57,-12,10269
10,5,19,35,40,72,-32,9911
10,6,18,36,51,64,-13,8697
13,10,11,49,57,48,9,8721
