wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
17,10,7,61.0,53.0,34.0,49.2,39.73,1832.0,485.0,174.0,355.0,134.0,19.0,8521
5,10,20,25.0,28.0,64.0,36.23,64.54,1704.0,394.0,130.0,557.0,224.0,-36.0,8311
7,11,16,32.0,34.0,45.0,37.77,51.04,1516.0,388.0,124.0,459.0,161.0,-11.0,9746
14,9,11,51.0,45.0,37.0,54.89,47.72,1796.0,494.0,177.0,395.0,140.0,8.0,8588
16,11,7,59.0,52.0,34.0,49.07,36.75,1935.0,441.0,170.0,329.0,128.0,18.0,8639
7,8,19,29.0,43.0,66.0,37.58,55.06,1570.0,369.0,138.0,531.0,210.0,-23.0,8689
16,5,13,53.0,49.0,55.0,51.31,53.54,1763.0,443.0,173.0,462.0,170.0,-6.0,9748
13,11,10,50.0,52.0,41.0,55.64,35.67,1824.0,481.0,158.0,375.0,134.0,11.0,8592
8,5,21,29.0,35.0,58.0,34.8,55.56,1193.0,332.0,116.0,518.0,189.0,-23.0,8550
20,7,7,67.0,68.0,42.0,56.19,43.85,1830.0,517.0,210.0,393.0,154.0,26.0,9829
11,12,12,45.0,47.0,50.0,46.78,51.29,1573.0,462.0,175.0,544.0,179.0,-3.0,10249
9,6,19,33.0,30.0,55.0,37.99,54.37,1519.0,381.0,136.0,428.0,160.0,-25.0,9830
15,10,9,55.0,40.0,29.0,50.5,35.91,1787.0,459.0,159.0,365.0,106.0,11.0,9831
22,10,2,76.0,81.0,33.0,69.41,40.9,2227.0,513.0,199.0,413.0,150.0,48.0,9847
13,8,13,47.0,42.0,47.0,45.01,47.13,1712.0,415.0,135.0,437.0,141.0,-5.0,9837
12,10,12,46.0,53.0,46.0,53.66,41.59,1774.0,487.0,169.0,390.0,152.0,7.0,9851
10,9,15,39.0,38.0,50.0,42.5,46.12,1501.0,367.0,123.0,416.0,128.0,-12.0,9848
11,10,13,43.0,42.0,46.0,40.93,48.69,1644.0,404.0,138.0,465.0,144.0,-4.0,9941
10,6,18,36.0,32.0,53.0,36.24,58.26,1390.0,317.0,98.0,483.0,194.0,-21.0,8121
11,9,14,42.0,48.0,51.0,41.76,58.48,1444.0,380.0,154.0,453.0,175.0,-3.0,8583
8,6,20,30.0,39.0,77.0,37.55,77.15,1609.0,370.0,121.0,551.0,217.0,-38.0,9853
8.471,8.471,19.059,33.882,46.588,65.647,47.456,61.179,1937.647,434.118,129.176,423.529,148.235,-19.059,6379
