index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,21/08/2020,Bordeaux,Nantes,0,0,2.4,3,3.25,0,1.86,2.04
1,22/08/2020,Dijon,Angers,0,1,2.7,3.1,2.8,0.25,1.86,2.07
2,22/08/2020,Lille,Rennes,1,1,2.3,3.2,3.3,-0.5,1.9,2.03
3,23/08/2020,Monaco,Reims,2,2,1.9,3.4,4.33,-0.5,1.95,1.98
4,23/08/2020,Lorient,Strasbourg,3,1,2.5,3.2,3,-0.25,2.08,1.85
5,23/08/2020,Nimes,Brest,4,0,2.3,3.2,3.3,-0.25,2.02,1.91
6,23/08/2020,Nice,Lens,2,1,2,3.3,4,-0.5,2.02,1.91
7,28/08/2020,Lyon,Dijon,4,1,1.28,5.75,9,-1.75,2.01,1.89
8,29/08/2020,Rennes,Montpellier,2,1,2,3.3,3.8,-0.5,1.83,2.07
9,29/08/2020,Strasbourg,Nice,0,2,2.2,3.3,3.3,-0.25,1.77,2.02
10,30/08/2020,Reims,Lille,0,1,3,3.1,2.45,0,2.14,1.77
11,30/08/2020,Angers,Bordeaux,0,2,2.25,3.1,3.4,-0.25,1.9,2
12,30/08/2020,Metz,Monaco,0,1,3.75,3.4,2,0.5,1.99,1.91
13,30/08/2020,Nantes,Nimes,2,1,1.95,3.2,4.2,-0.5,1.91,1.99
14,30/08/2020,St Etienne,Lorient,2,0,2.2,3.2,3.4,-0.25,1.97,1.93
15,30/08/2020,Brest,Marseille,2,3,3,3.5,2,0.25,1.99,1.91
16,10/09/2020,Lens,Paris SG,1,0,5,4,1.65,0.75,1.82,2.08
17,11/09/2020,Bordeaux,Lyon,0,0,4.5,3.6,1.83,0.5,1.92,1.98
18,12/09/2020,Montpellier,Nice,3,1,2.2,3.3,3.4,-0.5,2.07,1.83
19,12/09/2020,St Etienne,Strasbourg,2,0,2.2,3.2,3.5,-0.25,1.81,2.09
20,13/09/2020,Lille,Metz,1,0,1.53,3.75,7.5,-1,2.13,1.78
21,13/09/2020,Angers,Reims,1,0,2.37,3,3.4,-0.25,1.83,2.07
22,13/09/2020,Dijon,Brest,0,2,2.4,3.3,3,0,1.97,1.93
23,13/09/2020,Lorient,Lens,2,3,2.1,3.3,3.75,-0.25,1.95,1.95
24,13/09/2020,Nimes,Rennes,2,4,3.3,3.3,2.25,0.25,1.86,2.04
25,13/09/2020,Monaco,Nantes,2,1,1.9,3.6,4,-0.5,1.86,2.04
26,13/09/2020,Paris SG,Marseille,0,1,,,,-1.5,2.04,1.86
27,15/09/2020,Montpellier,Lyon,2,1,3.8,3.3,2.05,0.25,2.05,1.85
28,16/09/2020,Paris SG,Metz,1,0,1.25,7,9,-1.5,1.85,2.05
29,17/09/2020,Marseille,St Etienne,0,2,2,3.3,4,-0.5,1.84,2.06
