wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
11,8,19,41.0,49.0,65.0,45.94,62.88,1713.0,442.0,160.0,543.0,207.0,-16.0,9865
14,9,15,51.0,47.0,43.0,55.05,37.33,1957.0,548.0,170.0,390.0,123.0,4.0,8315
23,8,7,77.0,70.0,33.0,63.31,41.9,1919.0,539.0,200.0,438.0,128.0,37.0,9906
28,4,6,88.0,70.0,20.0,76.89,33.64,2463.0,572.0,194.0,331.0,109.0,50.0,8634
10,12,16,42.0,30.0,53.0,42.02,62.42,1580.0,395.0,116.0,551.0,208.0,-23.0,8385
11,10,17,43.0,43.0,53.0,43.05,46.19,1909.0,473.0,164.0,387.0,135.0,-10.0,9910
5,10,23,25.0,30.0,67.0,37.94,72.07,1724.0,405.0,130.0,561.0,213.0,-37.0,10268
8,13,17,37.0,52.0,69.0,49.36,60.79,1632.0,422.0,157.0,545.0,185.0,-17.0,8558
10,12,16,42.0,34.0,45.0,37.26,46.62,1495.0,373.0,126.0,488.0,166.0,-11.0,8305
13,10,15,49.0,58.0,55.0,51.28,55.37,1946.0,455.0,170.0,493.0,168.0,3.0,7732
14,8,16,50.0,37.0,43.0,36.01,46.06,1551.0,329.0,114.0,496.0,150.0,-6.0,8661
15,8,15,53.0,37.0,42.0,39.94,46.84,1832.0,446.0,138.0,445.0,149.0,-5.0,8371
13,10,15,49.0,45.0,53.0,44.39,50.72,1938.0,518.0,154.0,436.0,150.0,-8.0,8370
17,9,12,60.0,46.0,41.0,52.53,50.45,1924.0,420.0,151.0,466.0,151.0,5.0,8603
24,6,8,78.0,75.0,36.0,75.08,39.49,2323.0,646.0,221.0,422.0,136.0,39.0,8633
21,8,9,71.0,51.0,35.0,53.24,33.59,2089.0,469.0,179.0,395.0,135.0,16.0,8560
11,7,20,40.0,33.0,63.0,38.88,65.76,1853.0,447.0,145.0,589.0,201.0,-30.0,10281
13,10,15,49.0,47.0,54.0,47.15,55.16,2007.0,468.0,148.0,511.0,168.0,-7.0,8302
11,9,18,42.0,42.0,45.0,50.02,44.06,1975.0,488.0,150.0,400.0,151.0,-3.0,10267
19,7,12,64.0,59.0,40.0,62.78,50.78,2170.0,506.0,196.0,474.0,150.0,19.0,10205
12,10,16,46.0,36.0,46.0,46.53,45.16,1571.0,465.0,147.0,452.0,151.0,-10.0,9866
4,9,25,21.0,38.0,79.0,43.02,64.83,1731.0,402.0,131.0,494.0,206.0,-41.0,7878
10,10,18,40.0,33.0,47.0,33.43,57.51,2273.0,391.0,125.0,442.0,159.0,-14.0,8306
9,13,16,40.0,39.0,56.0,36.68,60.67,1612.0,352.0,117.0,571.0,181.0,-17.0,7854
