index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,12/08/2022,Osasuna,Sevilla,2,1,3.2,3.1,2.4,0.25,1.73,2.08
1,13/08/2022,Celta,Espanol,2,2,1.8,3.75,4.75,-0.75,2,1.9
2,13/08/2022,Valladolid,Villarreal,0,3,3.9,3.6,1.9,0.25,2.02,1.88
3,13/08/2022,Barcelona,Vallecano,0,0,1.22,7,12,-1.75,1.82,2.08
4,14/08/2022,Cadiz,Sociedad,0,1,3.6,3.2,2.2,0.25,2.05,1.85
5,14/08/2022,Valencia,Girona,1,0,1.85,3.4,4.5,-0.5,1.85,2.05
6,14/08/2022,Almeria,Real Madrid,1,2,7.5,5,1.4,1.25,1.99,1.91
7,15/08/2022,Ath Bilbao,Mallorca,0,0,1.6,3.75,6.5,-1,2.05,1.85
8,15/08/2022,Getafe,Ath Madrid,0,3,5,3.1,1.9,0.5,2.04,1.86
9,15/08/2022,Betis,Elche,3,0,1.44,4.5,7,-1,2.09,1.81
10,19/08/2022,Espanol,Vallecano,0,2,2.45,3.1,3.1,0,1.75,2.17
11,19/08/2022,Sevilla,Valladolid,1,1,1.5,4.2,6.5,-1,1.97,1.93
12,20/08/2022,Osasuna,Cadiz,2,0,1.9,3.25,4.5,-0.5,1.93,1.97
13,20/08/2022,Mallorca,Betis,1,2,3.1,3.2,2.4,0.25,1.86,2.04
14,20/08/2022,Celta,Real Madrid,1,4,4.5,4.2,1.66,0.75,2.06,1.84
15,21/08/2022,Ath Bilbao,Valencia,1,0,1.8,3.75,4.5,-0.75,1.87,2.03
16,21/08/2022,Ath Madrid,Villarreal,0,2,1.85,3.5,4.33,-0.5,1.96,1.94
17,21/08/2022,Sociedad,Barcelona,1,4,3.3,3.6,2.1,0.25,2.03,1.87
18,22/08/2022,Elche,Almeria,1,1,2.5,3.2,3,-0.25,1.98,1.92
19,22/08/2022,Girona,Getafe,3,1,2.8,2.9,2.9,-0.25,1.95,1.95
20,26/08/2022,Girona,Celta,0,1,2.8,3.1,2.75,0,1.96,1.94
21,26/08/2022,Betis,Osasuna,1,0,1.8,3.6,4.75,-0.5,1.85,2.05
22,27/08/2022,Elche,Sociedad,0,1,3.6,3.2,2.15,0.5,1.77,2.02
23,27/08/2022,Vallecano,Mallorca,0,2,2.05,3.25,4,-0.5,2.08,1.82
24,27/08/2022,Almeria,Sevilla,2,1,3.6,3.25,2.15,0.25,2.03,1.87
25,28/08/2022,Getafe,Villarreal,0,0,4.33,3.4,1.85,0.75,1.96,1.94
26,28/08/2022,Barcelona,Valladolid,4,0,1.14,8.5,15,-2.25,1.8,2.1
27,28/08/2022,Espanol,Real Madrid,1,3,6.5,4.75,1.45,1.25,1.73,2.08
28,29/08/2022,Cadiz,Ath Bilbao,0,4,3.6,3.2,2.15,0.25,2.02,1.77
29,29/08/2022,Valencia,Ath Madrid,0,1,4,3.3,2,0.5,1.91,1.99
30,02/09/2022,Celta,Cadiz,3,0,1.66,3.6,5.5,-0.75,1.8,2.1
31,03/09/2022,Mallorca,Girona,1,1,2.15,3.2,3.6,-0.25,1.83,2.07
32,03/09/2022,Real Madrid,Betis,2,1,1.4,5.25,6.5,-1.5,2.03,1.87
33,03/09/2022,Sociedad,Ath Madrid,1,1,2.9,3.2,2.55,0,2.04,1.86
34,03/09/2022,Sevilla,Barcelona,0,3,4.5,3.6,1.8,0.75,1.89,2.01
35,04/09/2022,Osasuna,Vallecano,2,1,2,3.1,4.33,-0.25,1.81,2.09
36,04/09/2022,Ath Bilbao,Espanol,0,1,1.53,4,6.5,-1,1.85,2.05
37,04/09/2022,Villarreal,Elche,4,0,1.33,5,10,-1.25,1.9,2
38,04/09/2022,Valencia,Getafe,5,1,1.9,3.2,4.5,-0.5,1.93,1.97
39,05/09/2022,Valladolid,Almeria,1,0,2.3,3.3,3.1,-0.25,1.92,1.98
40,09/09/2022,Girona,Valladolid,2,1,2.25,3.25,3.4,-0.25,1.73,2.08
41,10/09/2022,Vallecano,Valencia,2,1,2.62,3.1,2.87,0,1.93,1.97
42,10/09/2022,Espanol,Sevilla,2,3,2.87,3.25,2.5,0,1.8,2.1
43,10/09/2022,Cadiz,Barcelona,0,4,13,6.5,1.22,1.5,1.88,2.02
44,10/09/2022,Ath Madrid,Celta,4,1,1.61,3.8,6,-0.5,1.85,2.05
45,11/09/2022,Real Madrid,Mallorca,4,1,1.25,6,11,-1.5,1.91,1.99
46,11/09/2022,Elche,Ath Bilbao,1,4,4,3.6,1.9,0.75,1.84,2.06
47,11/09/2022,Getafe,Sociedad,2,1,3.75,3,2.15,0.5,1.91,1.99
48,11/09/2022,Betis,Villarreal,1,0,2.8,3.4,2.5,0.25,1.82,2.08
49,12/09/2022,Almeria,Osasuna,0,1,2.6,3.25,2.75,0,2.1,1.8
50,16/09/2022,Valladolid,Cadiz,0,1,2,3.25,4,-0.5,2.05,1.85
51,17/09/2022,Mallorca,Almeria,1,0,2,3.3,4,-0.5,1.95,1.95
52,17/09/2022,Barcelona,Elche,3,0,1.08,11,26,-2.75,1.84,2.06
53,17/09/2022,Valencia,Celta,3,0,2.3,3.2,3.3,-0.25,1.98,1.92
54,17/09/2022,Ath Bilbao,Vallecano,3,2,1.53,4,6.5,-1,2.05,1.75
55,18/09/2022,Osasuna,Getafe,0,2,1.8,3.4,5,-0.75,1.93,1.97
56,18/09/2022,Villarreal,Sevilla,1,1,1.7,3.8,5,-0.75,1.97,1.93
57,18/09/2022,Betis,Girona,2,1,1.75,3.6,5,-0.75,1.96,1.94
58,18/09/2022,Sociedad,Espanol,2,1,1.7,3.6,5,-0.75,1.94,1.96
59,18/09/2022,Ath Madrid,Real Madrid,1,2,3.1,3.4,2.3,0.25,1.8,2.1
60,30/09/2022,Ath Bilbao,Almeria,4,0,1.33,5,9.5,-1.25,1.73,2.08
61,01/10/2022,Cadiz,Villarreal,0,0,6,4,1.57,0.75,1.9,2
62,01/10/2022,Getafe,Valladolid,2,3,2.3,3,3.5,-0.25,2.07,1.83
63,01/10/2022,Sevilla,Ath Madrid,0,2,3,3.2,2.5,0.25,1.88,2.02
64,01/10/2022,Mallorca,Barcelona,0,1,9,5,1.36,1.5,1.83,2.07
65,02/10/2022,Espanol,Valencia,2,2,2.62,3.3,2.7,0,2.01,1.89
66,02/10/2022,Celta,Betis,1,0,2.45,3.4,2.87,-0.25,2.09,1.81
67,02/10/2022,Girona,Sociedad,3,5,3.25,3.2,2.3,0.25,1.92,1.98
68,02/10/2022,Real Madrid,Osasuna,1,1,1.3,5.5,9.5,-1.5,2.05,1.85
69,03/10/2022,Vallecano,Elche,2,1,1.72,3.6,5.25,-1,1.91,1.99
70,07/10/2022,Osasuna,Valencia,1,2,2.4,3.2,3.1,0,1.82,2.08
