index,Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,AHCh,B365CAHH,B365CAHA
0,13/08/2021,M'gladbach,Bayern Munich,1,1,4.33,4.5,1.66,0.75,1.99,1.94
1,14/08/2021,Augsburg,Hoffenheim,0,4,3.2,3.75,2.1,0.25,1.97,1.96
2,14/08/2021,Bielefeld,Freiburg,0,0,2.8,3.4,2.5,0.25,1.75,2.05
3,14/08/2021,Stuttgart,Greuther Furth,5,1,1.83,4,4,-0.75,2.02,1.77
4,14/08/2021,Union Berlin,Leverkusen,1,1,2.75,3.4,2.55,0,1.92,2.01
5,14/08/2021,Wolfsburg,Bochum,1,0,1.53,4.5,5.75,-1.25,1.99,1.94
6,14/08/2021,Dortmund,Ein Frankfurt,5,2,1.4,5.5,6.5,-1.25,2.02,1.91
7,15/08/2021,Mainz,RB Leipzig,1,0,8,5.5,1.33,1.25,1.95,1.98
8,15/08/2021,FC Koln,Hertha,3,1,2.55,3.4,2.75,-0.25,2.05,1.88
9,20/08/2021,RB Leipzig,Stuttgart,4,0,1.36,5.25,7,-1,1.85,2.08
10,21/08/2021,Bochum,Mainz,2,0,2.62,3.5,2.62,0.25,1.82,2.11
11,21/08/2021,Ein Frankfurt,Augsburg,0,0,1.57,4.5,5.25,-1,2.08,1.85
12,21/08/2021,Freiburg,Dortmund,2,1,5.5,4.75,1.5,0.75,1.93,2
13,21/08/2021,Greuther Furth,Bielefeld,1,1,2.55,3.4,2.7,0,1.92,2.01
14,21/08/2021,Hertha,Wolfsburg,1,2,3,3.4,2.37,0.25,1.99,1.94
15,21/08/2021,Leverkusen,M'gladbach,4,0,2.2,3.75,3,-0.25,1.97,1.96
16,22/08/2021,Hoffenheim,Union Berlin,2,2,2,3.6,3.6,-0.5,1.85,2.08
17,22/08/2021,Bayern Munich,FC Koln,3,2,1.11,11,16,-2.75,2.07,1.86
18,27/08/2021,Dortmund,Hoffenheim,3,2,1.4,5.5,6.5,-1.25,1.81,2.13
19,28/08/2021,Augsburg,Leverkusen,1,4,4.75,3.8,1.72,0.75,2.04,1.89
20,28/08/2021,Bielefeld,Ein Frankfurt,1,1,3.3,3.6,2.1,0.25,2.02,1.91
21,28/08/2021,FC Koln,Bochum,2,1,1.83,3.75,4.2,-0.75,1.98,1.95
22,28/08/2021,Mainz,Greuther Furth,3,0,1.66,4,5,-1,1.94,1.99
23,28/08/2021,Stuttgart,Freiburg,2,3,2.15,3.6,3.2,-0.25,1.85,2.08
24,28/08/2021,Bayern Munich,Hertha,5,0,1.14,9,15,-2.25,1.86,2.07
25,29/08/2021,Union Berlin,M'gladbach,2,1,2.45,3.25,2.9,0,1.87,2.06
26,29/08/2021,Wolfsburg,RB Leipzig,1,0,3.6,3.5,2.05,0.25,1.96,1.97
27,11/09/2021,Freiburg,FC Koln,1,1,2.2,3.6,3.1,-0.25,2.01,1.92
28,11/09/2021,Greuther Furth,Wolfsburg,0,2,5.5,4.33,1.57,0.75,1.93,2
29,11/09/2021,Hoffenheim,Mainz,0,2,2,3.75,3.5,-0.25,1.97,1.96
30,11/09/2021,Leverkusen,Dortmund,3,4,3.1,3.8,2.15,0.25,1.9,2.03
31,11/09/2021,Union Berlin,Augsburg,0,0,1.7,3.75,5,-0.75,1.88,2.05
32,11/09/2021,RB Leipzig,Bayern Munich,1,4,3,3.8,2.2,0.25,2,1.93
33,12/09/2021,Ein Frankfurt,Stuttgart,1,1,2,3.75,3.5,-0.5,2.08,1.85
34,12/09/2021,Bochum,Hertha,1,3,2.8,3.4,2.5,0,1.95,1.98
35,12/09/2021,M'gladbach,Bielefeld,3,1,1.44,4.75,7,-1.25,2.06,1.87
36,17/09/2021,Hertha,Greuther Furth,2,1,1.75,3.75,4.2,-0.75,2.05,1.88
37,18/09/2021,Augsburg,M'gladbach,1,0,4.2,4,1.8,0.25,2.05,1.88
38,18/09/2021,Bayern Munich,Bochum,7,0,1.06,13,29,-3.25,2.01,1.92
39,18/09/2021,Bielefeld,Hoffenheim,0,0,3.5,3.6,2.05,0.25,2.08,1.73
40,18/09/2021,Mainz,Freiburg,0,0,2,3.6,3.6,-0.5,1.93,2
41,18/09/2021,FC Koln,RB Leipzig,1,1,4.5,4,1.72,0.5,1.98,1.95
42,19/09/2021,Stuttgart,Leverkusen,1,3,3.3,3.75,2.1,0.25,2.05,1.75
43,19/09/2021,Dortmund,Union Berlin,4,2,1.36,5.25,8,-1.75,2.02,1.91
44,19/09/2021,Wolfsburg,Ein Frankfurt,1,1,1.8,3.8,4.33,-0.5,1.85,2.08
45,24/09/2021,Greuther Furth,Bayern Munich,1,3,23,13,1.07,2.75,1.77,2.02
46,25/09/2021,Ein Frankfurt,FC Koln,1,1,2,3.75,3.5,-0.25,1.85,2.08
47,25/09/2021,Hoffenheim,Wolfsburg,3,1,2.75,3.5,2.5,0,1.87,2.06
48,25/09/2021,Leverkusen,Mainz,1,0,1.72,4,4.5,-0.75,1.94,1.99
49,25/09/2021,RB Leipzig,Hertha,6,0,1.3,5.5,10,-1.5,1.75,2.05
50,25/09/2021,Union Berlin,Bielefeld,1,0,1.66,3.8,5.5,-0.75,1.92,2.01
51,25/09/2021,M'gladbach,Dortmund,1,0,4.33,4.2,1.72,0.5,1.73,2.08
52,26/09/2021,Bochum,Stuttgart,0,0,3,3.5,2.3,0.25,1.95,1.98
53,26/09/2021,Freiburg,Augsburg,3,0,1.85,3.6,4.33,-0.5,1.85,2.08
54,01/10/2021,FC Koln,Greuther Furth,3,1,1.4,5,7,-1.25,1.9,2.03
55,02/10/2021,Dortmund,Augsburg,2,1,1.22,6.5,12,-2,2,1.93
56,02/10/2021,Hertha,Freiburg,1,2,2.9,3.4,2.4,0.25,1.83,2.1
57,02/10/2021,Stuttgart,Hoffenheim,3,1,2.62,3.75,2.45,0.25,1.79,2.15
58,02/10/2021,Wolfsburg,M'gladbach,1,3,2.1,3.6,3.4,-0.5,2.02,1.91
59,02/10/2021,RB Leipzig,Bochum,3,0,1.2,7,12,-2,1.68,2.15
60,03/10/2021,Mainz,Union Berlin,1,2,2.05,3.5,3.6,-0.25,1.91,2.02
61,03/10/2021,Bayern Munich,Ein Frankfurt,1,2,1.16,8,15,-2.75,1.83,1.98
