wins,draws,losses,Points Earned,goals,goals against,goal diff,id
5,13,16,28,27,53,-26,9912
10,8,16,38,39,56,-17,8406
19,7,8,64,80,47,33,8178
24,5,5,77,97,37,60,9823
12,6,16,42,38,52,-14,9911
22,3,9,69,85,52,33,9789
12,9,13,45,54,61,-7,9788
10,12,12,42,45,49,-4,9810
14,10,10,52,52,49,3,8722
15,10,9,55,58,46,12,8358
3,9,22,18,28,82,-54,8357
9,6,19,33,37,71,-34,8177
13,7,14,46,58,60,-2,8226
13,7,14,46,50,45,5,9905
17,7,10,58,72,37,35,178475
16,9,9,57,50,44,6,8149
7,12,15,33,41,59,-18,10269
12,6,16,42,43,54,-11,8721
