wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
5,13,16,28.0,27.0,53.0,26.54,63.95,1374.0,363.0,113.0,528.0,183.0,-26.0,9912
10,8,16,38.0,39.0,56.0,36.99,58.59,1402.0,367.0,126.0,487.0,159.0,-17.0,8406
19,7,8,64.0,80.0,47.0,64.24,45.36,1829.0,459.0,192.0,456.0,162.0,33.0,8178
24,5,5,77.0,97.0,37.0,89.9,36.62,2203.0,673.0,266.0,317.0,112.0,60.0,9823
12,6,16,42.0,38.0,52.0,42.42,58.32,1518.0,415.0,142.0,475.0,184.0,-14.0,9911
22,3,9,69.0,85.0,52.0,65.75,47.36,2022.0,453.0,178.0,371.0,137.0,33.0,9789
12,9,13,45.0,54.0,61.0,57.8,57.33,1840.0,496.0,184.0,477.0,187.0,-7.0,9788
10,12,12,42.0,45.0,49.0,42.26,47.43,1688.0,448.0,139.0,433.0,173.0,-4.0,9810
14,10,10,52.0,52.0,49.0,50.35,51.39,1874.0,468.0,151.0,430.0,156.0,3.0,8722
15,10,9,55.0,58.0,46.0,51.91,45.17,1670.0,463.0,162.0,482.0,156.0,12.0,8358
3,9,22,18.0,28.0,82.0,30.41,60.86,1477.0,314.0,107.0,511.0,190.0,-54.0,8357
9,6,19,33.0,37.0,71.0,33.58,54.86,1476.0,368.0,123.0,463.0,176.0,-34.0,8177
13,7,14,46.0,58.0,60.0,59.15,55.38,1817.0,452.0,151.0,424.0,164.0,-2.0,8226
13,7,14,46.0,50.0,45.0,50.99,44.95,1571.0,469.0,158.0,383.0,127.0,5.0,9905
17,7,10,58.0,72.0,37.0,66.22,40.69,1924.0,438.0,182.0,352.0,115.0,35.0,178475
16,9,9,57.0,50.0,44.0,48.15,38.94,1477.0,413.0,155.0,395.0,123.0,6.0,8149
7,12,15,33.0,41.0,59.0,44.67,55.38,1723.0,452.0,157.0,503.0,166.0,-18.0,10269
12,6,16,42.0,43.0,54.0,48.86,47.61,1715.0,420.0,142.0,444.0,158.0,-11.0,8721
7, 10, 17,31,35,71,40.3,57.88,1551,426,130,494,199,-36,10189
10,6,18,36,51,64,41.53,53.61,1684,369,142,477,187,-13,8697
