wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
21,6,11,69.0,72.0,42.0,58.73,41.87,1950.0,544.0,207.0,452.0,146.0,30.0,8524
18,14,6,68.0,54.0,32.0,48.46,37.4,2216.0,477.0,164.0,409.0,128.0,22.0,9857
8,12,18,36.0,42.0,68.0,43.52,55.27,1582.0,448.0,137.0,489.0,158.0,-26.0,8529
9,9,20,36.0,29.0,54.0,36.75,54.33,1662.0,418.0,118.0,564.0,188.0,-25.0,8534
17,9,12,60.0,61.0,46.0,52.94,48.81,2191.0,523.0,182.0,380.0,149.0,15.0,8535
8,11,19,35.0,44.0,69.0,46.05,59.49,1893.0,470.0,160.0,559.0,182.0,-25.0,9891
12,13,13,49.0,45.0,45.0,36.33,43.42,1675.0,403.0,129.0,501.0,139.0,0.0,10233
9,11,18,38.0,38.0,51.0,38.49,49.29,1686.0,442.0,151.0,514.0,166.0,-13.0,9876
29,7,2,94.0,89.0,22.0,79.16,31.42,2176.0,594.0,212.0,395.0,115.0,67.0,8636
19,14,5,71.0,54.0,31.0,55.87,30.39,1839.0,536.0,157.0,442.0,118.0,23.0,9885
18,7,13,61.0,49.0,39.0,47.35,43.24,2031.0,440.0,141.0,486.0,149.0,10.0,8543
8,14,16,38.0,32.0,54.0,43.98,54.74,1698.0,508.0,153.0,515.0,179.0,-22.0,9888
22,9,7,75.0,76.0,49.0,67.01,46.35,2172.0,562.0,214.0,498.0,164.0,27.0,8564
11,12,15,45.0,39.0,51.0,40.19,56.92,2035.0,456.0,130.0,554.0,194.0,-12.0,6504
13,14,11,53.0,55.0,48.0,62.42,39.28,2322.0,648.0,207.0,396.0,129.0,7.0,9875
18,9,11,63.0,65.0,46.0,52.33,42.35,2084.0,476.0,157.0,482.0,152.0,19.0,8686
2,11,25,17.0,32.0,81.0,30.61,75.38,1682.0,400.0,120.0,599.0,208.0,-49.0,6480
7,9,22,30.0,43.0,75.0,40.58,62.35,1656.0,461.0,152.0,548.0,184.0,-32.0,7943
13,14,11,53.0,36.0,36.0,38.36,37.71,1965.0,434.0,123.0,421.0,146.0,0.0,9804
6,19,13,37.0,37.0,53.0,40.53,49.65,1485.0,461.0,139.0,497.0,159.0,-16.0,8600
13,10,15,49.0,49.0,52.0,45.21,44.07,2084.0,521.0,180.0,383.0,148.0,-3.0,10171
7,15,16,36.0,44.0,58.0,44.94,57.62,1678.0,425.0,148.0,542.0,165.0,-14.0,10167
5,14,19,29.0,32.0,56.0,37.48,57.84,1704.0,386.0,128.0,567.0,191.0,-24.0,7881
