wins,draws,losses,Points Earned,goals,goals against,Expected goals (xG),Expected goals (xG) against,Ball possession,Total shots,Shots on target,Total shots against,Shots on target against,goal diff,id
19,13,6,70.0,54.0,29.0,53.82,38.35,1839.0,468.0,154.0,343.0,114.0,25.0,8315
22,10,6,76.0,68.0,30.0,65.46,33.69,1994.0,470.0,182.0,392.0,118.0,38.0,9906
28,4,6,88.0,102.0,39.0,92.39,41.93,2626.0,678.0,250.0,294.0,110.0,63.0,8634
16,7,15,55.0,59.0,57.0,55.42,43.62,2042.0,451.0,181.0,403.0,147.0,2.0,9910
10,12,16,42.0,38.0,48.0,43.7,47.41,1722.0,404.0,135.0,406.0,134.0,-10.0,9866
11,9,18,42.0,40.0,51.0,34.88,54.73,1505.0,356.0,104.0,569.0,195.0,-11.0,8558
11,9,18,42.0,34.0,39.0,37.66,46.5,1568.0,435.0,129.0,371.0,128.0,-5.0,8305
11,8,19,41.0,44.0,60.0,43.05,50.35,2144.0,402.0,141.0,456.0,166.0,-16.0,7732
8,8,22,32.0,40.0,61.0,36.2,68.19,1936.0,413.0,141.0,540.0,183.0,-21.0,8306
9,13,16,40.0,39.0,56.0,36.68,60.67,1612.0,352.0,117.0,571.0,181.0,-17.0,7854
13,9,16,48.0,35.0,44.0,38.79,47.84,1770.0,387.0,113.0,568.0,167.0,-9.0,8661
12,16,10,52.0,48.0,52.0,45.16,54.65,1744.0,418.0,132.0,468.0,191.0,-4.0,8371
13,13,12,52.0,41.0,45.0,46.03,49.36,1965.0,515.0,166.0,469.0,158.0,-4.0,8370
16,12,10,60.0,57.0,50.0,55.46,51.64,1997.0,528.0,188.0,422.0,144.0,7.0,8603
26,6,6,84.0,78.0,38.0,76.78,44.12,2297.0,635.0,249.0,405.0,128.0,40.0,8633
13,7,18,46.0,35.0,46.0,43.17,44.21,2052.0,391.0,132.0,439.0,144.0,-11.0,8560
4,4,30,16.0,26.0,90.0,34.73,69.23,1620.0,336.0,105.0,599.0,209.0,-64.0,10281
10,11,17,41.0,42.0,55.0,43.19,48.17,1921.0,475.0,156.0,415.0,150.0,-13.0,8302
11,13,14,46.0,44.0,54.0,43.33,52.25,1839.0,388.0,125.0,426.0,148.0,-10.0,10267
20,10,8,70.0,71.0,51.0,66.15,45.14,1807.0,537.0,179.0,483.0,164.0,20.0,10205
10.556,14.778,12.667,46.444,50.667,48.556,44.544,54.277,2248.333,441.222,147.778,496.111,173.111,2.111,10268
5.067,7.6,25.333,22.8,40.533,70.933,50.641,66.5,1575.733,392.667,131.733,651.067,210.267,-30.4,8581
4.471,11.176,22.353,24.588,15.647,58.118,31.629,65.584,1723.412,335.294,102.824,587.882,243.647,-42.471,8670
