spread,home spread odds,away spread odds,home team win odds,draw odds,away team win odds,date,team1,team2,team1Home,team1 final score,team 2 final score,label,Home goals,Away goals,Home Expected goals (xG),Away Expected goals (xG),Home Total shots,Away Total shots,Home Shots on target,Away Shots on target,Home Ball possession,Away Ball possession,Home Big chances,Away Big chances,Home Touches in opposition box,Away Touches in opposition box,Home goals against,Away goals against,Home Expected goals (xG) against,Away Expected goals (xG) against,Home Total shots against,Away Total shots against,Home Shots on target against,Away Shots on target against,Home Ball possession against,Away Ball possession against,Home Big chances against,Away Big chances against,Home Touches in opposition box against,Away Touches in opposition box against,Home Points Earned,Away Points Earned,Home Total shots average/goals average,Away Total shots average/goals average,Home Shots on target average/goals average,Away Shots on target average/goals average,Home Total shots against average/goals against average,Away Total shots against average/goals against average,Home Shots on target against average/goals against average,Away Shots on target against average/goals against average
-1.25,1.98,1.92,1.44,4.75,7,2022-08-13T16:30:00.000Z,8564,8600,True,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.25,1.98,1.92,1.44,4.75,7,2022-08-13T16:30:00.000Z,8564,8600,True,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,1.79,2.11,2.75,3.5,2.5,2022-08-21T18:45:00.000Z,8524,8564,True,1,1,1,4.0,2.33,14.0,5.0,59.0,3.0,0.0,2.0,0.49,9.0,4.0,41.0,0.0,0.0,3.0,0.286,0.8,0.222,0.5,2.0,2.17,9.0,3.0,45.0,3.0,0.0,0.0,0.97,11.0,1.0,55.0,0.0,0.0,3.0,0.222,0.667,0.0,0.0
-0.5,2.05,1.85,2.15,3.5,3.3,2022-08-21T18:45:00.000Z,9857,9876,True,1,1,1,2.0,1.09,6.0,3.0,34.0,2.0,16.0,5.0,2.45,25.0,8.0,66.0,4.0,44.0,0.0,0.333,0.667,0.2,0.625,1.0,1.59,11.0,3.0,59.0,2.0,0.0,2.0,0.66,9.0,6.0,41.0,1.0,0.0,0.0,0.091,0.333,0.222,0.333
0.5,1.95,1.95,4.2,4,1.75,2022-08-28T16:30:00.000Z,8524,9876,False,1,0,2,1.5,1.34,10.0,2.5,43.0,1.5,0.0,0.5,1.12,14.5,4.0,57.0,1.5,0.0,2.0,0.15,0.6,0.034,0.125,1.5,1.565,12.5,3.0,41.0,2.5,20.5,3.0,1.65,21.0,6.5,59.0,3.0,29.0,0.5,0.12,0.5,0.143,0.462
-0.25,2.03,1.87,2.45,3.2,3,2022-08-28T16:30:00.000Z,6480,9882,True,4,0,2,0.0,0.915,10.0,1.0,51.0,0.5,0.0,1.0,1.47,9.5,3.5,49.0,1.5,0.0,0.5,0.0,0.0,0.105,0.286,0.0,1.12,15.0,4.0,52.5,1.5,0.0,0.5,1.82,17.5,3.5,47.5,4.0,0.0,0.5,0.0,0.0,0.029,0.143
-0.5,1.84,2.06,1.72,3.75,5.25,2022-09-01T18:45:00.000Z,8524,9804,True,3,1,2,1.333,1.5,12.333,4.0,49.0,3.667,0.0,0.667,0.987,12.667,4.0,51.0,0.667,0.0,2.333,0.108,0.333,0.053,0.167,1.333,1.153,11.667,4.0,45.667,1.0,9.333,0.333,0.917,14.333,3.333,54.333,1.0,7.333,2.333,0.114,0.333,0.023,0.1
-0.25,1.82,2.08,1.85,3.6,4.33,2022-09-01T18:45:00.000Z,9857,6480,True,1,1,1,1.333,1.327,13.0,4.667,50.0,1.667,0.0,0.333,1.81,17.333,4.333,50.0,3.0,0.0,1.333,0.103,0.286,0.019,0.077,0.667,0.993,12.0,2.667,54.333,1.667,4.667,1.667,1.523,15.667,5.333,45.667,2.667,8.333,0.333,0.056,0.25,0.106,0.313
0.75,1.75,2.05,5.75,4.2,1.57,2022-09-05T16:30:00.000Z,8524,6504,False,2,0,2,1.75,1.61,11.75,4.25,44.5,2.0,7.0,0.5,0.797,12.75,3.0,55.5,0.75,5.5,2.5,0.149,0.412,0.039,0.167,0.5,0.968,10.5,2.75,54.25,0.75,0.0,2.75,1.933,16.25,5.75,45.75,5.25,0.0,0.0,0.048,0.182,0.169,0.478
-0.25,2.04,1.86,2.25,3.4,3.2,2022-09-05T16:30:00.000Z,8534,6480,False,2,2,1,0.5,0.645,11.75,3.5,51.75,0.5,10.0,0.75,0.675,13.0,3.0,48.25,0.75,13.0,0.75,0.043,0.143,0.058,0.25,1.25,1.343,14.75,4.5,51.0,1.75,0.0,0.5,1.8,15.75,4.25,49.0,3.0,0.0,1.25,0.085,0.278,0.032,0.118
-1.5,2.07,1.83,1.3,5.5,9.5,2022-09-11T10:30:00.000Z,8524,7801,True,1,1,1,0.8,0.868,12.8,3.4,44.4,1.0,0.0,1.8,2.078,20.8,8.4,55.6,2.6,0.0,0.2,0.062,0.235,0.087,0.214,1.8,1.678,12.0,4.6,43.6,2.2,7.467,0.4,0.876,12.2,3.0,56.4,0.8,5.867,2.6,0.15,0.391,0.033,0.133
-0.25,1.86,2.04,2.05,3.5,3.5,2022-09-18T16:00:00.000Z,8524,8686,False,1,0,2,1.6,1.38,13.0,5.2,46.2,1.8,8.867,0.6,0.794,11.4,3.6,53.8,1.0,6.967,2.2,0.123,0.308,0.053,0.167,1.4,1.956,15.0,6.6,47.0,3.0,0.0,1.2,0.884,14.4,3.0,53.0,0.4,0.0,2.0,0.093,0.212,0.083,0.4
-0.25,1.83,2.07,1.95,3.5,4,2022-10-02T16:00:00.000Z,8524,8535,True,1,0,2,0.8,1.422,13.4,4.8,57.4,1.4,3.6,0.8,1.058,9.0,2.2,42.6,1.4,4.6,1.0,0.06,0.167,0.089,0.364,1.6,1.314,11.6,5.0,46.8,1.8,10.36,0.4,1.024,12.0,3.2,53.2,1.4,8.14,2.6,0.138,0.32,0.033,0.125
0,1.75,2.05,2.5,3.4,2.75,2022-10-09T13:00:00.000Z,8524,8600,False,2,2,1,1.6,1.424,10.6,4.6,44.2,2.4,8.76,0.4,1.062,12.4,3.8,55.8,1.4,8.94,2.6,0.151,0.348,0.032,0.105,2.6,1.608,15.4,5.2,50.0,2.0,7.2,0.6,0.696,10.4,2.4,50.0,0.2,3.4,3.0,0.169,0.5,0.058,0.25
0,1.78,2.13,2.4,3.4,2.87,2022-10-09T13:00:00.000Z,9876,6480,False,1,2,0,0.8,0.88,9.6,3.2,45.2,1.2,22.4,1.6,1.454,15.6,6.2,54.8,2.2,28.2,0.8,0.083,0.25,0.103,0.258,1.2,1.216,12.0,3.6,51.6,2.2,2.6,2.4,1.864,15.0,6.4,48.4,3.2,5.2,0.6,0.1,0.333,0.16,0.375
-0.5,2,1.9,1.9,3.6,4,2022-10-09T13:00:00.000Z,6504,9881,True,2,0,2,0.8,0.678,10.8,2.2,44.4,1.0,2.2,2.0,1.466,16.0,5.8,55.6,2.6,7.2,0.8,0.074,0.364,0.125,0.345,1.0,1.21,11.0,3.0,55.6,1.2,3.6,1.2,1.144,9.6,4.0,44.4,2.6,2.0,1.4,0.091,0.333,0.125,0.3
-0.75,1.77,2.02,1.65,4,5,2022-10-15T18:45:00.000Z,8524,7943,True,2,1,2,1.6,1.376,12.8,5.6,44.8,2.0,11.2,1.0,1.222,12.2,2.4,55.2,2.2,6.8,1.4,0.125,0.286,0.082,0.417,1.4,1.25,10.0,4.6,44.2,1.8,12.16,0.6,1.184,12.8,3.8,55.8,1.6,16.34,2.2,0.14,0.304,0.047,0.158
-0.5,2.08,1.82,1.95,3.5,4,2022-10-23T16:00:00.000Z,8524,8543,True,0,2,0,2.8,1.802,12.0,5.4,54.0,3.0,20.4,0.0,1.172,15.2,2.4,46.0,1.4,19.2,2.6,0.233,0.519,0.0,0.0,1.4,1.372,10.6,4.2,45.8,2.0,15.493,0.8,1.106,13.0,3.8,54.2,1.4,18.273,2.2,0.132,0.333,0.062,0.211
0.75,1.96,1.94,4.33,3.8,1.8,2022-10-30T11:30:00.000Z,8524,8534,False,2,0,2,1.2,1.396,9.2,3.0,43.6,2.2,18.893,1.0,1.168,14.0,4.0,56.4,1.4,21.173,2.0,0.13,0.4,0.071,0.25,0.8,1.078,11.4,4.0,42.0,1.8,14.907,1.6,2.24,18.4,5.4,58.0,4.0,29.187,1.4,0.07,0.2,0.087,0.296
0.25,2,1.9,3.3,3.6,2.15,2022-11-05T17:00:00.000Z,8524,9875,True,1,2,0,3.0,2.314,19.4,7.8,58.8,3.8,32.2,0.8,0.88,12.0,2.6,41.2,0.8,19.8,3.0,0.155,0.385,0.067,0.308,1.4,1.984,12.4,4.0,44.4,3.0,25.0,1.0,0.852,12.4,3.6,55.6,0.4,24.6,2.0,0.113,0.35,0.081,0.278
0.25,1.9,2,4.75,3.5,1.8,2022-11-09T17:30:00.000Z,8524,9888,False,1,2,0,1.4,2.124,13.6,4.0,46.2,3.2,27.8,1.4,0.97,10.6,3.6,53.8,1.0,23.6,1.4,0.103,0.35,0.132,0.389,0.6,0.554,6.8,2.0,39.8,0.8,14.2,1.4,1.586,13.6,5.2,60.2,2.2,26.0,0.4,0.088,0.3,0.103,0.269
0.25,1.97,1.93,3.4,3.6,2.1,2022-11-09T17:30:00.000Z,8686,7943,False,1,1,1,1.2,1.796,11.0,3.6,55.0,3.2,21.0,0.8,0.468,7.6,3.0,45.0,0.4,13.2,1.8,0.109,0.333,0.105,0.267,0.8,1.004,12.0,3.6,48.2,1.2,24.2,2.0,1.942,16.0,4.0,51.8,3.4,28.6,0.6,0.067,0.222,0.125,0.5
0.25,1.85,2.05,3.1,3.75,2.2,2022-11-13T11:30:00.000Z,8524,8636,True,2,3,0,3.0,2.046,13.6,6.4,53.2,3.4,24.2,1.2,0.752,9.0,3.2,46.8,0.8,15.0,2.4,0.221,0.469,0.133,0.375,1.2,1.994,14.2,3.8,50.2,3.4,27.8,1.4,0.988,11.6,3.8,49.8,1.2,21.2,1.2,0.085,0.316,0.121,0.368
0.75,1.93,2,4.75,3.8,1.67,2023-01-04T13:30:00.000Z,8524,9881,False,2,2,1,1.2,1.85,14.6,4.4,49.8,3.2,27.0,1.8,1.272,12.2,3.8,50.2,1.6,22.6,0.6,0.082,0.273,0.148,0.474,1.0,1.374,14.8,5.6,50.2,2.0,24.4,1.4,1.772,19.0,5.4,49.8,2.0,28.0,0.8,0.068,0.179,0.074,0.259
-0.75,1.85,2.08,1.83,3.4,4.5,2023-01-04T13:30:00.000Z,9876,9804,False,1,1,1,0.6,1.07,12.0,3.4,38.4,1.4,19.6,2.0,1.552,13.8,4.8,61.6,1.6,27.4,0.0,0.05,0.176,0.145,0.417,1.6,0.922,9.0,3.8,47.2,1.2,13.0,1.0,1.46,12.0,3.0,52.8,2.0,20.8,2.0,0.178,0.421,0.083,0.333
0.25,1.97,1.96,3.4,3.4,2.15,2023-01-09T19:45:00.000Z,8524,9857,False,2,1,2,1.6,2.122,17.0,5.0,53.4,3.2,32.4,1.8,1.4,11.2,3.4,46.6,1.8,21.8,0.8,0.094,0.32,0.161,0.529,1.6,1.12,9.6,4.0,51.4,1.8,14.2,1.8,1.468,10.4,3.8,48.6,1.6,14.4,1.8,0.167,0.4,0.173,0.474
-1.5,1.88,2.05,1.4,5,7,2023-01-15T17:00:00.000Z,8524,6480,True,8,2,2,1.0,0.696,7.6,1.6,43.8,0.8,11.2,2.0,2.424,17.6,7.4,56.2,4.6,34.8,0.4,0.132,0.625,0.114,0.27,1.6,1.594,14.4,4.4,53.6,2.6,28.6,2.0,1.342,11.0,3.4,46.4,1.8,20.2,0.8,0.111,0.364,0.182,0.588
-0.25,1.85,2.08,2.1,3.4,3.5,2023-01-22T19:45:00.000Z,8524,9885,False,3,3,1,3.0,1.776,15.0,6.0,55.8,2.6,28.8,2.0,1.282,11.0,2.8,44.2,1.6,18.2,1.4,0.2,0.5,0.182,0.714,1.4,1.608,13.6,5.2,48.8,1.8,22.6,1.0,1.04,12.6,4.2,51.2,1.0,22.2,2.4,0.103,0.269,0.079,0.238
-1.5,1.98,1.95,1.33,5.25,9,2023-01-28T19:45:00.000Z,8524,9882,True,2,0,2,0.4,0.942,10.8,3.2,45.4,1.2,16.4,1.4,1.696,16.2,5.0,54.6,2.2,30.6,0.6,0.037,0.125,0.086,0.28,3.4,1.688,15.4,6.0,54.2,2.4,28.8,2.2,1.43,11.0,3.8,45.8,1.6,17.2,1.6,0.221,0.567,0.2,0.579
0.5,2.02,1.91,3.75,3.6,1.91,2023-02-04T19:45:00.000Z,8524,7943,False,0,1,0,3.4,1.686,16.0,5.6,57.4,2.2,32.8,1.6,1.154,11.2,4.2,42.6,1.2,16.2,2.2,0.212,0.607,0.143,0.381,1.6,1.41,13.2,3.6,48.4,1.8,21.6,1.8,1.774,11.8,4.0,51.6,1.8,22.6,0.8,0.121,0.444,0.153,0.45
-0.25,1.93,2,2.38,3.4,3,2023-02-11T19:45:00.000Z,8524,8543,False,2,0,2,3.0,1.358,13.6,5.4,53.6,1.8,27.4,1.4,1.114,13.4,5.2,46.4,1.0,17.2,2.0,0.221,0.556,0.104,0.269,2.0,1.752,12.4,3.0,52.6,2.0,21.2,0.8,0.928,11.8,3.4,47.4,1.2,19.4,1.8,0.161,0.667,0.068,0.235
-1.25,2.02,1.88,1.5,4,7,2023-02-19T11:30:00.000Z,8524,9888,True,1,2,0,1.2,1.09,11.6,3.6,47.6,1.8,18.8,1.4,1.106,11.4,4.6,52.4,1.6,15.6,1.0,0.103,0.333,0.123,0.304,3.0,1.83,16.8,6.8,51.8,2.4,29.0,1.2,1.19,13.6,5.6,48.2,1.4,16.6,2.0,0.179,0.441,0.088,0.214
-0.25,1.93,1.97,2.15,3.4,3.4,2023-02-26T19:45:00.000Z,8524,8564,False,0,2,0,1.6,1.534,17.0,6.2,54.2,2.0,28.8,1.2,1.078,13.0,5.6,45.8,1.2,15.2,1.4,0.094,0.258,0.092,0.214,0.8,1.058,9.2,4.0,46.8,1.6,16.6,2.0,1.328,11.4,4.6,53.2,1.6,21.4,1.2,0.087,0.2,0.175,0.435
-0.75,1.88,2.05,1.62,4,5.5,2023-03-04T17:00:00.000Z,8524,8600,True,0,0,1,1.2,1.586,15.6,5.2,47.2,2.0,30.4,1.8,1.834,11.0,3.2,52.8,2.0,19.0,0.6,0.077,0.231,0.164,0.562,1.0,1.352,14.8,5.4,54.0,1.6,27.4,1.0,1.054,12.6,4.6,46.0,1.6,16.2,1.2,0.068,0.185,0.079,0.217
-0.75,1.89,2.04,1.67,4,5,2023-03-11T17:00:00.000Z,8524,9875,False,0,2,0,0.6,1.272,14.0,5.4,55.0,1.4,28.2,1.0,0.946,10.6,3.8,45.0,1.6,15.2,0.8,0.043,0.111,0.094,0.263,2.0,1.616,15.0,5.4,62.8,2.4,28.8,0.2,0.436,8.0,2.0,37.2,0.0,12.2,2.4,0.133,0.37,0.025,0.1
-1.25,2,1.93,1.4,4.5,7.5,2023-03-17T19:45:00.000Z,8524,8534,True,2,1,2,0.8,1.052,14.8,3.8,53.6,0.8,21.8,1.6,1.734,15.8,4.0,46.4,2.0,26.2,0.4,0.054,0.211,0.101,0.4,0.6,1.224,13.8,5.6,53.8,1.4,26.0,1.2,0.95,10.6,3.4,46.2,1.6,16.0,0.8,0.043,0.107,0.113,0.353
1,1.96,1.97,5.5,3.8,1.67,2023-04-01T13:00:00.000Z,8524,7801,False,3,1,2,0.6,1.244,14.6,4.8,59.8,2.0,31.2,1.4,0.91,9.0,2.8,40.2,1.6,16.2,0.8,0.041,0.125,0.156,0.5,1.4,1.048,10.8,3.4,39.8,1.2,18.8,1.8,1.642,12.6,5.2,60.2,1.6,22.8,1.0,0.13,0.412,0.143,0.346
-0.75,1.86,2.07,1.65,3.8,5.5,2023-04-08T14:30:00.000Z,8524,9857,True,0,2,0,1.2,0.764,12.2,2.8,53.8,1.0,13.4,0.6,0.89,11.8,4.0,46.2,0.6,22.4,1.6,0.098,0.429,0.051,0.15,1.0,1.536,13.0,3.6,57.4,2.6,30.0,1.2,1.138,11.2,3.2,42.6,1.6,18.4,1.4,0.077,0.278,0.107,0.375
